Jack Henry & Associates Quarterly Net Income (Millions of US $),Jack Henry & Associates Quarterly Net Income (Millions of US $).1
2024-03-31,$87
2023-12-31,$92
2023-09-30,$102
2023-06-30,$98
2023-03-31,$82
2022-12-31,$81
2022-09-30,$107
2022-06-30,$80
2022-03-31,$85
2021-12-31,$96
2021-09-30,$102
2021-06-30,$77
2021-03-31,$71
2020-12-31,$72
2020-09-30,$91
2020-06-30,$61
2020-03-31,$74
2019-12-31,$72
2019-09-30,$89
2019-06-30,$61
2019-03-31,$59
2018-12-31,$68
2018-09-30,$84
2018-06-30,$68
2018-03-31,$69
2017-12-31,$161
2017-09-30,$67
2017-06-30,$48
2017-03-31,$60
2016-12-31,$59
2016-09-30,$62
2016-06-30,$84
2016-03-31,$54
2015-12-31,$59
2015-09-30,$51
2015-06-30,$61
2015-03-31,$51
2014-12-31,$54
2014-09-30,$46
2014-06-30,$53
2014-03-31,$43
2013-12-31,$48
2013-09-30,$43
2013-06-30,$39
2013-03-31,$46
2012-12-31,$41
2012-09-30,$42
2012-06-30,$40
2012-03-31,$37
2011-12-31,$39
2011-09-30,$36
2011-06-30,$37
2011-03-31,$33
2010-12-31,$36
2010-09-30,$32
2010-06-30,$30
2010-03-31,$32
2009-12-31,$30
2009-09-30,$26
2009-06-30,$28
2009-03-31,$25
