Uber Technologies Quarterly Net Income (Millions of US $),Uber Technologies Quarterly Net Income (Millions of US $).1
2024-03-31,$-654
2023-12-31,"$1,429"
2023-09-30,$221
2023-06-30,$394
2023-03-31,$-157
2022-12-31,$596
2022-09-30,"$-1,206"
2022-06-30,"$-2,601"
2022-03-31,"$-5,930"
2021-12-31,$892
2021-09-30,"$-2,424"
2021-06-30,"$1,144"
2021-03-31,$-108
2020-12-31,$-968
2020-09-30,"$-1,089"
2020-06-30,"$-1,775"
2020-03-31,"$-2,936"
2019-12-31,"$-1,096"
2019-09-30,"$-1,162"
2019-06-30,"$-5,236"
2019-03-31,"$-1,012"
2018-12-31,$-887
2018-09-30,$-986
2018-06-30,$-878
2018-03-31,$876
2017-12-31,
2016-12-31,
