Freeport-McMoRan Quarterly Net Income (Millions of US $),Freeport-McMoRan Quarterly Net Income (Millions of US $).1
2024-03-31,$473
2023-12-31,$388
2023-09-30,$454
2023-06-30,$343
2023-03-31,$663
2022-12-31,$697
2022-09-30,$404
2022-06-30,$840
2022-03-31,"$1,527"
2021-12-31,"$1,106"
2021-09-30,"$1,399"
2021-06-30,"$1,083"
2021-03-31,$718
2020-12-31,$708
2020-09-30,$329
2020-06-30,$53
2020-03-31,$-491
2019-12-31,$12
2019-09-30,$-207
2019-06-30,$-72
2019-03-31,$28
2018-12-31,$485
2018-09-30,$556
2018-06-30,$869
2018-03-31,$692
2017-12-31,"$1,041"
2017-09-30,$280
2017-06-30,$268
2017-03-31,$228
2016-12-31,$292
2016-09-30,$217
2016-06-30,$-479
2016-03-31,"$-4,184"
2015-12-31,"$-4,081"
2015-09-30,"$-3,830"
2015-06-30,"$-1,851"
2015-03-31,"$-2,474"
2014-12-31,"$-2,852"
2014-09-30,$552
2014-06-30,$482
2014-03-31,$510
2013-12-31,$707
2013-09-30,$821
2013-06-30,$482
2013-03-31,$648
2012-12-31,$743
2012-09-30,$824
2012-06-30,$710
2012-03-31,$764
2011-12-31,$640
2011-09-30,"$1,053"
2011-06-30,"$1,368"
2011-03-31,"$1,499"
2010-12-31,"$1,549"
2010-09-30,"$1,178"
2010-06-30,$649
2010-03-31,$897
2009-12-31,$971
2009-09-30,$925
2009-06-30,$588
2009-03-31,$43
