Raymond James Financial Quarterly Net Income (Millions of US $),Raymond James Financial Quarterly Net Income (Millions of US $).1
2024-03-31,$474
2023-12-31,$497
2023-09-30,$433
2023-06-30,$368
2023-03-31,$425
2022-12-31,$507
2022-09-30,$438
2022-06-30,$298
2022-03-31,$323
2021-12-31,$446
2021-09-30,$430
2021-06-30,$307
2021-03-31,$355
2020-12-31,$311
2020-09-30,$210
2020-06-30,$172
2020-03-31,$169
2019-12-31,$267
2019-09-30,$264
2019-06-30,$258
2019-03-31,$261
2018-12-31,$249
2018-09-30,$262
2018-06-30,$232
2018-03-31,$243
2017-12-31,$119
2017-09-30,$193
2017-06-30,$183
2017-03-31,$112
2016-12-31,$147
2016-09-30,$170
2016-06-30,$126
2016-03-31,$126
2015-12-31,$106
2015-09-30,$130
2015-06-30,$133
2015-03-31,$113
2014-12-31,$126
2014-09-30,$139
2014-06-30,$122
2014-03-31,$104
2013-12-31,$116
2013-09-30,$120
2013-06-30,$83
2013-03-31,$80
2012-12-31,$85
2012-09-30,$82
2012-06-30,$75
2012-03-31,$67
2011-12-31,$66
2011-09-30,$63
2011-06-30,$47
2011-03-31,$81
2010-12-31,$79
2010-09-30,$66
2010-06-30,$58
2010-03-31,$53
2009-12-31,$41
2009-09-30,$39
2009-06-30,$41
2009-03-31,$6
