Amphenol Quarterly Net Income (Millions of US $),Amphenol Quarterly Net Income (Millions of US $).1
2024-03-31,$549
2023-12-31,$514
2023-09-30,$514
2023-06-30,$461
2023-03-31,$439
2022-12-31,$508
2022-09-30,$497
2022-06-30,$473
2022-03-31,$426
2021-12-31,$465
2021-09-30,$427
2021-06-30,$370
2021-03-31,$330
2020-12-31,$357
2020-09-30,$347
2020-06-30,$258
2020-03-31,$242
2019-12-31,$319
2019-09-30,$280
2019-06-30,$288
2019-03-31,$268
2018-12-31,$338
2018-09-30,$317
2018-06-30,$285
2018-03-31,$266
2017-12-31,$-103
2017-09-30,$278
2017-06-30,$252
2017-03-31,$225
2016-12-31,$236
2016-09-30,$224
2016-06-30,$207
2016-03-31,$157
2015-12-31,$200
2015-09-30,$205
2015-06-30,$179
2015-03-31,$180
2014-12-31,$194
2014-09-30,$182
2014-06-30,$175
2014-03-31,$159
2013-12-31,$168
2013-09-30,$161
2013-06-30,$154
2013-03-31,$153
2012-12-31,$140
2012-09-30,$147
2012-06-30,$141
2012-03-31,$127
2011-12-31,$114
2011-09-30,$135
2011-06-30,$148
2011-03-31,$128
2010-12-31,$131
2010-09-30,$137
2010-06-30,$130
2010-03-31,$98
2009-12-31,$88
2009-09-30,$81
2009-06-30,$75
2009-03-31,$74
