AvalonBay Communities Quarterly Net Income (Millions of US $),AvalonBay Communities Quarterly Net Income (Millions of US $).1
2024-03-31,$173
2023-12-31,$242
2023-09-30,$172
2023-06-30,$368
2023-03-31,$147
2022-12-31,$242
2022-09-30,$495
2022-06-30,$139
2022-03-31,$262
2021-12-31,$335
2021-09-30,$79
2021-06-30,$448
2021-03-31,$142
2020-12-31,$341
2020-09-30,$148
2020-06-30,$171
2020-03-31,$168
2019-12-31,$168
2019-09-30,$280
2019-06-30,$168
2019-03-31,$170
2018-12-31,$386
2018-09-30,$192
2018-06-30,$255
2018-03-31,$142
2017-12-31,$235
2017-09-30,$238
2017-06-30,$165
2017-03-31,$236
2016-12-31,$242
2016-09-30,$356
2016-06-30,$197
2016-03-31,$238
2015-12-31,$155
2015-09-30,$206
2015-06-30,$172
2015-03-31,$208
2014-12-31,$143
2014-09-30,$241
2014-06-30,$158
2014-03-31,$142
2013-12-31,$252
2013-09-30,$-11
2013-06-30,$36
2013-03-31,$75
2012-12-31,$122
2012-09-30,$87
2012-06-30,$157
2012-03-31,$58
2011-12-31,$323
2011-09-30,$45
2011-06-30,$43
2011-03-31,$30
2010-12-31,$27
2010-09-30,$25
2010-06-30,$51
2010-03-31,$73
2009-12-31,$32
2009-09-30,$58
2009-06-30,$18
2009-03-31,$47
