United Dominion Realty Trust Quarterly Net Income (Millions of US $),United Dominion Realty Trust Quarterly Net Income (Millions of US $).1
2024-03-31,$42
2023-12-31,$32
2023-09-30,$32
2023-06-30,$346
2023-03-31,$30
2022-12-31,$43
2022-09-30,$22
2022-06-30,$4
2022-03-31,$13
2021-12-31,$116
2021-09-30,$17
2021-06-30,$11
2021-03-31,$2
2020-12-31,$25
2020-09-30,$-26
2020-06-30,$57
2020-03-31,$4
2019-12-31,$97
2019-09-30,$26
2019-06-30,$35
2019-03-31,$23
2018-12-31,$81
2018-09-30,$18
2018-06-30,$20
2018-03-31,$81
2017-12-31,$68
2017-09-30,$15
2017-06-30,$9
2017-03-31,$25
2016-12-31,$236
2016-09-30,$26
2016-06-30,$17
2016-03-31,$9
2015-12-31,$165
2015-09-30,$12
2015-06-30,$86
2015-03-31,$73
2014-12-31,$64
2014-09-30,$40
2014-06-30,$29
2014-03-31,$17
2013-12-31,$36
2013-09-30,$2
2013-06-30,$4
2013-03-31,$-1
2012-12-31,$-13
2012-09-30,$-10
2012-06-30,$146
2012-03-31,$81
2011-12-31,$44
2011-09-30,$-16
2011-06-30,$12
2011-03-31,$-30
2010-12-31,$-31
2010-09-30,$-26
2010-06-30,$-29
2010-03-31,$-26
2009-12-31,$-25
2009-09-30,$-41
2009-06-30,$-15
2009-03-31,$-15
