CSX Quarterly Net Income (Millions of US $),CSX Quarterly Net Income (Millions of US $).1
2024-03-31,$893
2023-12-31,$886
2023-09-30,$846
2023-06-30,$996
2023-03-31,$987
2022-12-31,"$1,018"
2022-09-30,"$1,111"
2022-06-30,"$1,178"
2022-03-31,$859
2021-12-31,$934
2021-09-30,$968
2021-06-30,"$1,173"
2021-03-31,$706
2020-12-31,$760
2020-09-30,$736
2020-06-30,$499
2020-03-31,$770
2019-12-31,$771
2019-09-30,$856
2019-06-30,$870
2019-03-31,$834
2018-12-31,$843
2018-09-30,$894
2018-06-30,$877
2018-03-31,$695
2017-12-31,"$4,140"
2017-09-30,$459
2017-06-30,$510
2017-03-31,$362
2016-12-31,$458
2016-09-30,$455
2016-06-30,$445
2016-03-31,$356
2015-12-31,$466
2015-09-30,$507
2015-06-30,$553
2015-03-31,$442
2014-12-31,$491
2014-09-30,$509
2014-06-30,$529
2014-03-31,$398
2013-12-31,$426
2013-09-30,$455
2013-06-30,$521
2013-03-31,$462
2012-12-31,$447
2012-09-30,$455
2012-06-30,$512
2012-03-31,$449
2011-12-31,$489
2011-09-30,$464
2011-06-30,$506
2011-03-31,$395
2010-12-31,$430
2010-09-30,$414
2010-06-30,$414
2010-03-31,$305
2009-12-31,$302
2009-09-30,$290
2009-06-30,$305
2009-03-31,$246
