Seagate Technology Holdings Quarterly Net Income (Millions of US $),Seagate Technology Holdings Quarterly Net Income (Millions of US $).1
2024-03-31,$25
2023-12-31,$-19
2023-09-30,$-184
2023-06-30,$-92
2023-03-31,$-433
2022-12-31,$-33
2022-09-30,$29
2022-06-30,$276
2022-03-31,$346
2021-12-31,$501
2021-09-30,$526
2021-06-30,$482
2021-03-31,$329
2020-12-31,$280
2020-09-30,$223
2020-06-30,$166
2020-03-31,$320
2019-12-31,$318
2019-09-30,$200
2019-06-30,$983
2019-03-31,$195
2018-12-31,$384
2018-09-30,$450
2018-06-30,$461
2018-03-31,$381
2017-12-31,$159
2017-09-30,$181
2017-06-30,$114
2017-03-31,$194
2016-12-31,$297
2016-09-30,$167
2016-06-30,$70
2016-03-31,$-21
2015-12-31,$165
2015-09-30,$34
2015-06-30,$137
2015-03-31,$291
2014-12-31,$933
2014-09-30,$381
2014-06-30,$320
2014-03-31,$395
2013-12-31,$428
2013-09-30,$427
2013-06-30,$348
2013-03-31,$416
2012-12-31,$492
2012-09-30,$582
2012-06-30,"$1,013"
2012-03-31,"$1,146"
2011-12-31,$563
2011-09-30,$140
2011-06-30,$119
2011-03-31,$93
2010-12-31,$150
2010-09-30,$149
2010-06-30,$379
2010-03-31,$518
2009-12-31,$533
2009-09-30,$179
2009-06-30,$-83
2009-03-31,$-275
