Emerson Electric Quarterly Net Income (Millions of US $),Emerson Electric Quarterly Net Income (Millions of US $).1
2024-03-31,$501
2023-12-31,$142
2023-09-30,$744
2023-06-30,"$9,352"
2023-03-31,$792
2022-12-31,"$2,331"
2022-09-30,$740
2022-06-30,$921
2022-03-31,$674
2021-12-31,$896
2021-09-30,$670
2021-06-30,$627
2021-03-31,$561
2020-12-31,$445
2020-09-30,$723
2020-06-30,$399
2020-03-31,$517
2019-12-31,$326
2019-09-30,$717
2019-06-30,$604
2019-03-31,$520
2018-12-31,$465
2018-09-30,$617
2018-06-30,$712
2018-03-31,$482
2017-12-31,$392
2017-09-30,$504
2017-06-30,$413
2017-03-31,$292
2016-12-31,$309
2016-09-30,$438
2016-06-30,$479
2016-03-31,$369
2015-12-31,$349
2015-09-30,$648
2015-06-30,$564
2015-03-31,$973
2014-12-31,$525
2014-09-30,$410
2014-06-30,$728
2014-03-31,$547
2013-12-31,$462
2013-09-30,$795
2013-06-30,$194
2013-03-31,$561
2012-12-31,$454
2012-09-30,$282
2012-06-30,$770
2012-03-31,$545
2011-12-31,$371
2011-09-30,$761
2011-06-30,$683
2011-03-31,$556
2010-12-31,$480
2010-09-30,$749
2010-06-30,$585
2010-03-31,$405
2009-12-31,$425
2009-09-30,$506
2009-06-30,$387
2009-03-31,$373
