Electronic Arts Quarterly Net Income (Millions of US $),Electronic Arts Quarterly Net Income (Millions of US $).1
2024-03-31,$182
2023-12-31,$290
2023-09-30,$399
2023-06-30,$402
2023-03-31,$-12
2022-12-31,$204
2022-09-30,$299
2022-06-30,$311
2022-03-31,$225
2021-12-31,$66
2021-09-30,$294
2021-06-30,$204
2021-03-31,$76
2020-12-31,$211
2020-09-30,$185
2020-06-30,$365
2020-03-31,$418
2019-12-31,$346
2019-09-30,$854
2019-06-30,"$1,421"
2019-03-31,$209
2018-12-31,$262
2018-09-30,$255
2018-06-30,$293
2018-03-31,$607
2017-12-31,$-186
2017-09-30,$-22
2017-06-30,$644
2017-03-31,$566
2016-12-31,$-1
2016-09-30,$-38
2016-06-30,$440
2016-03-31,$899
2015-12-31,$-45
2015-09-30,$-140
2015-06-30,$442
2015-03-31,$395
2014-12-31,$142
2014-09-30,$3
2014-06-30,$335
2014-03-31,$367
2013-12-31,$-308
2013-09-30,$-273
2013-06-30,$222
2013-03-31,$323
2012-12-31,$-45
2012-09-30,$-381
2012-06-30,$201
2012-03-31,$400
2011-12-31,$-205
2011-09-30,$-340
2011-06-30,$221
2011-03-31,$151
2010-12-31,$-322
2010-09-30,$-201
2010-06-30,$96
2010-03-31,$30
2009-12-31,$-82
2009-09-30,$-391
2009-06-30,$-234
2009-03-31,$-42
