Southern Quarterly Net Income (Millions of US $),Southern Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,129"
2023-12-31,$854
2023-09-30,"$1,422"
2023-06-30,$838
2023-03-31,$862
2022-12-31,$-87
2022-09-30,"$1,472"
2022-06-30,"$1,107"
2022-03-31,"$1,032"
2021-12-31,$-215
2021-09-30,"$1,101"
2021-06-30,$372
2021-03-31,"$1,135"
2020-12-31,$388
2020-09-30,"$1,251"
2020-06-30,$612
2020-03-31,$868
2019-12-31,$440
2019-09-30,"$1,316"
2019-06-30,$899
2019-03-31,"$2,084"
2018-12-31,$278
2018-09-30,"$1,164"
2018-06-30,$-154
2018-03-31,$938
2017-12-31,$496
2017-09-30,"$1,069"
2017-06-30,"$-1,381"
2017-03-31,$658
2016-12-31,$197
2016-09-30,"$1,139"
2016-06-30,$623
2016-03-31,$489
2015-12-31,$271
2015-09-30,$959
2015-06-30,$629
2015-03-31,$508
2014-12-31,$283
2014-09-30,$718
2014-06-30,$611
2014-03-31,$351
2013-12-31,$414
2013-09-30,$852
2013-06-30,$297
2013-03-31,$81
2012-12-31,$383
2012-09-30,$976
2012-06-30,$623
2012-03-31,$368
2011-12-31,$261
2011-09-30,$916
2011-06-30,$604
2011-03-31,$422
2010-12-31,$153
2010-09-30,$817
2010-06-30,$510
2010-03-31,$495
2009-12-31,$249
2009-09-30,$790
2009-06-30,$479
2009-03-31,$126
