Molson Coors Beverage Quarterly Net Income (Millions of US $),Molson Coors Beverage Quarterly Net Income (Millions of US $).1
2024-03-31,$208
2023-12-31,$103
2023-09-30,$431
2023-06-30,$342
2023-03-31,$73
2022-12-31,$-591
2022-09-30,$216
2022-06-30,$47
2022-03-31,$152
2021-12-31,$80
2021-09-30,$453
2021-06-30,$389
2021-03-31,$84
2020-12-31,"$-1,370"
2020-09-30,$343
2020-06-30,$195
2020-03-31,$-117
2019-12-31,$164
2019-09-30,$-403
2019-06-30,$329
2019-03-31,$151
2018-12-31,$76
2018-09-30,$338
2018-06-30,$424
2018-03-31,$278
2017-12-31,$740
2017-09-30,$287
2017-06-30,$330
2017-03-31,$209
2016-12-31,"$1,056"
2016-09-30,$203
2016-06-30,$172
2016-03-31,$163
2015-12-31,$69
2015-09-30,$17
2015-06-30,$229
2015-03-31,$81
2014-12-31,$94
2014-09-30,$-34
2014-06-30,$291
2014-03-31,$163
2013-12-31,$137
2013-09-30,$134
2013-06-30,$267
2013-03-31,$29
2012-12-31,$60
2012-09-30,$198
2012-06-30,$105
2012-03-31,$80
2011-12-31,$173
2011-09-30,$197
2011-06-30,$223
2011-03-31,$83
2010-12-31,$110
2010-09-30,$256
2010-06-30,$237
2010-03-31,$105
2009-12-31,$222
2009-09-30,$235
2009-06-30,$187
2009-03-31,$76
