CocaCola Quarterly Net Income (Millions of US $),CocaCola Quarterly Net Income (Millions of US $).1
2024-03-31,"$3,177"
2023-12-31,"$1,973"
2023-09-30,"$3,087"
2023-06-30,"$2,547"
2023-03-31,"$3,107"
2022-12-31,"$2,031"
2022-09-30,"$2,825"
2022-06-30,"$1,905"
2022-03-31,"$2,781"
2021-12-31,"$2,414"
2021-09-30,"$2,471"
2021-06-30,"$2,641"
2021-03-31,"$2,245"
2020-12-31,"$1,456"
2020-09-30,"$1,737"
2020-06-30,"$1,779"
2020-03-31,"$2,775"
2019-12-31,"$2,042"
2019-09-30,"$2,593"
2019-06-30,"$2,607"
2019-03-31,"$1,678"
2018-12-31,$870
2018-09-30,"$1,880"
2018-06-30,"$2,316"
2018-03-31,"$1,368"
2017-12-31,"$-2,752"
2017-09-30,"$1,447"
2017-06-30,"$1,371"
2017-03-31,"$1,182"
2016-12-31,$550
2016-09-30,"$1,046"
2016-06-30,"$3,448"
2016-03-31,"$1,483"
2015-12-31,"$1,237"
2015-09-30,"$1,449"
2015-06-30,"$3,108"
2015-03-31,"$1,557"
2014-12-31,$770
2014-09-30,"$2,114"
2014-06-30,"$2,595"
2014-03-31,"$1,619"
2013-12-31,"$1,710"
2013-09-30,"$2,447"
2013-06-30,"$2,676"
2013-03-31,"$1,751"
2012-12-31,"$1,866"
2012-09-30,"$2,311"
2012-06-30,"$2,788"
2012-03-31,"$2,054"
2011-12-31,"$1,657"
2011-09-30,"$2,224"
2011-06-30,"$2,800"
2011-03-31,"$1,903"
2010-12-31,"$5,749"
2010-09-30,"$2,055"
2010-06-30,"$2,369"
2010-03-31,"$1,614"
2009-12-31,"$1,543"
2009-09-30,"$1,896"
2009-06-30,"$2,037"
2009-03-31,"$1,348"
