WEC Energy Quarterly Net Income (Millions of US $),WEC Energy Quarterly Net Income (Millions of US $).1
2024-03-31,$622
2023-12-31,$219
2023-09-30,$316
2023-06-30,$290
2023-03-31,$508
2022-12-31,$253
2022-09-30,$302
2022-06-30,$288
2022-03-31,$566
2021-12-31,$224
2021-09-30,$290
2021-06-30,$276
2021-03-31,$510
2020-12-31,$239
2020-09-30,$267
2020-06-30,$242
2020-03-31,$453
2019-12-31,$244
2019-09-30,$234
2019-06-30,$236
2019-03-31,$420
2018-12-31,$205
2018-09-30,$233
2018-06-30,$231
2018-03-31,$390
2017-12-31,$433
2017-09-30,$215
2017-06-30,$199
2017-03-31,$357
2016-12-31,$194
2016-09-30,$217
2016-06-30,$181
2016-03-31,$346
2015-12-31,$179
2015-09-30,$183
2015-06-30,$81
2015-03-31,$196
2014-12-31,$121
2014-09-30,$126
2014-06-30,$133
2014-03-31,$208
2013-12-31,$144
2013-09-30,$138
2013-06-30,$119
2013-03-31,$177
2012-12-31,$99
2012-09-30,$156
2012-06-30,$119
2012-03-31,$172
2011-12-31,$116
2011-09-30,$130
2011-06-30,$110
2011-03-31,$171
2010-12-31,$126
2010-09-30,$112
2010-06-30,$89
2010-03-31,$130
2009-12-31,$119
2009-09-30,$59
2009-06-30,$64
2009-03-31,$142
