Warner Bros Discovery Quarterly Net Income (Millions of US $),Warner Bros Discovery Quarterly Net Income (Millions of US $).1
2024-03-31,$-966
2023-12-31,$-400
2023-09-30,$-417
2023-06-30,"$-1,240"
2023-03-31,"$-1,069"
2022-12-31,"$-2,101"
2022-09-30,"$-2,308"
2022-06-30,"$-3,418"
2022-03-31,$456
2021-12-31,$38
2021-09-30,$156
2021-06-30,$672
2021-03-31,$140
2020-12-31,$271
2020-09-30,$300
2020-06-30,$271
2020-03-31,$377
2019-12-31,$476
2019-09-30,$262
2019-06-30,$947
2019-03-31,$384
2018-12-31,$269
2018-09-30,$117
2018-06-30,$216
2018-03-31,$-8
2017-12-31,"$-1,144"
2017-09-30,$218
2017-06-30,$374
2017-03-31,$215
2016-12-31,$304
2016-09-30,$219
2016-06-30,$408
2016-03-31,$263
2015-12-31,$333
2015-09-30,$218
2015-06-30,$286
2015-03-31,$197
2014-12-31,$434
2014-09-30,$222
2014-06-30,$299
2014-03-31,$184
2013-12-31,$292
2013-09-30,$255
2013-06-30,$297
2013-03-31,$231
2012-12-31,$224
2012-09-30,$205
2012-06-30,$293
2012-03-31,$221
2011-12-31,$336
2011-09-30,$237
2011-06-30,$254
2011-03-31,$305
2010-12-31,$191
2010-09-30,$186
2010-06-30,$106
2010-03-31,$169
2009-12-31,$151
2009-09-30,$94
2009-06-30,$177
2009-03-31,$119
