Home Depot Quarterly Net Income (Millions of US $),Home Depot Quarterly Net Income (Millions of US $).1
2024-04-30,"$3,600"
2024-01-31,"$2,801"
2023-10-31,"$3,810"
2023-07-31,"$4,659"
2023-04-30,"$3,873"
2023-01-31,"$3,362"
2022-10-31,"$4,339"
2022-07-31,"$5,173"
2022-04-30,"$4,231"
2022-01-31,"$3,352"
2021-10-31,"$4,129"
2021-07-31,"$4,807"
2021-04-30,"$4,145"
2021-01-31,"$2,857"
2020-10-31,"$3,432"
2020-07-31,"$4,332"
2020-04-30,"$2,245"
2020-01-31,"$2,481"
2019-10-31,"$2,769"
2019-07-31,"$3,479"
2019-04-30,"$2,513"
2019-01-31,"$2,344"
2018-10-31,"$2,867"
2018-07-31,"$3,506"
2018-04-30,"$2,404"
2018-01-31,"$1,779"
2017-10-31,"$2,165"
2017-07-31,"$2,672"
2017-04-30,"$2,014"
2017-01-31,"$1,744"
2016-10-31,"$1,969"
2016-07-31,"$2,441"
2016-04-30,"$1,803"
2016-01-31,"$1,471"
2015-10-31,"$1,725"
2015-07-31,"$2,234"
2015-04-30,"$1,579"
2015-01-31,"$1,379"
2014-10-31,"$1,537"
2014-07-31,"$2,050"
2014-04-30,"$1,379"
2014-01-31,"$1,013"
2013-10-31,"$1,351"
2013-07-31,"$1,795"
2013-04-30,"$1,226"
2013-01-31,"$1,021"
2012-10-31,$947
2012-07-31,"$1,532"
2012-04-30,"$1,035"
2012-01-31,$774
2011-10-31,$934
2011-07-31,"$1,363"
2011-04-30,$812
2011-01-31,$587
2010-10-31,$834
2010-07-31,"$1,192"
2010-04-30,$725
2010-01-31,$342
2009-10-31,$689
2009-07-31,"$1,116"
2009-04-30,$514
2009-01-31,$-54
