General Motors Quarterly Net Income (Millions of US $),General Motors Quarterly Net Income (Millions of US $).1
2024-03-31,"$2,970"
2023-12-31,"$2,075"
2023-09-30,"$3,038"
2023-06-30,"$2,540"
2023-03-31,"$2,369"
2022-12-31,"$1,984"
2022-09-30,"$3,278"
2022-06-30,"$1,666"
2022-03-31,"$1,987"
2021-12-31,"$1,696"
2021-09-30,"$2,375"
2021-06-30,"$2,790"
2021-03-31,"$2,976"
2020-12-31,"$2,801"
2020-09-30,"$4,005"
2020-06-30,$-806
2020-03-31,$247
2019-12-31,$-232
2019-09-30,"$2,313"
2019-06-30,"$2,381"
2019-03-31,"$2,119"
2018-12-31,"$1,992"
2018-09-30,"$2,503"
2018-06-30,"$2,375"
2018-03-31,"$1,046"
2017-12-31,"$-5,165"
2017-09-30,"$-2,983"
2017-06-30,"$1,660"
2017-03-31,"$2,608"
2016-12-31,"$1,835"
2016-09-30,"$2,773"
2016-06-30,"$2,866"
2016-03-31,"$1,953"
2015-12-31,"$6,266"
2015-09-30,"$1,359"
2015-06-30,"$1,117"
2015-03-31,$945
2014-12-31,"$1,105"
2014-09-30,"$1,384"
2014-06-30,$190
2014-03-31,$125
2013-12-31,"$1,007"
2013-09-30,$698
2013-06-30,"$1,200"
2013-03-31,$865
2012-12-31,$892
2012-09-30,"$1,476"
2012-06-30,"$1,487"
2012-03-31,"$1,004"
2011-12-31,$184
2011-09-30,"$1,726"
2011-06-30,"$2,524"
2011-03-31,"$3,151"
2010-12-31,"$1,406"
2010-09-30,"$1,959"
2010-06-30,"$1,334"
2010-03-31,$865
2009-12-31,
