Conagra Brands Quarterly Net Income (Millions of US $),Conagra Brands Quarterly Net Income (Millions of US $).1
2024-02-29,$309
2023-11-30,$286
2023-08-31,$320
2023-05-31,$38
2023-02-28,$342
2022-11-30,$382
2022-08-31,$-78
2022-05-31,$159
2022-02-28,$218
2021-11-30,$276
2021-08-31,$235
2021-05-31,$310
2021-02-28,$281
2020-11-30,$379
2020-08-31,$329
2020-05-31,$201
2020-02-29,$204
2019-11-30,$261
2019-08-31,$174
2019-05-31,$127
2019-02-28,$242
2018-11-30,$132
2018-08-31,$178
2018-05-31,$70
2018-02-28,$363
2017-11-30,$224
2017-08-31,$153
2017-05-31,$151
2017-02-28,$180
2016-11-30,$122
2016-08-31,$186
2016-05-31,$121
2016-02-29,$201
2015-11-30,$155
2015-08-31,"$-1,154"
2015-05-31,$211
2015-02-28,$-955
2014-11-30,$10
2014-08-31,$482
2014-05-31,$-324
2014-02-28,$234
2013-11-30,$248
2013-08-31,$144
2013-05-31,$191
2013-02-28,$120
2012-11-30,$211
2012-08-31,$250
2012-05-31,$-87
2012-02-29,$280
2011-11-30,$180
2011-08-31,$94
2011-05-31,$254
2011-02-28,$215
2010-11-30,$201
2010-08-31,$146
2010-05-31,$-23
2010-02-28,$230
2009-11-30,$240
2009-08-31,$166
2009-05-31,$175
2009-02-28,$193
