Fifth Third Bancorp Quarterly Net Income (Millions of US $),Fifth Third Bancorp Quarterly Net Income (Millions of US $).1
2024-03-31,$480
2023-12-31,$492
2023-09-30,$623
2023-06-30,$562
2023-03-31,$535
2022-12-31,$699
2022-09-30,$631
2022-06-30,$526
2022-03-31,$474
2021-12-31,$628
2021-09-30,$683
2021-06-30,$674
2021-03-31,$674
2020-12-31,$569
2020-09-30,$562
2020-06-30,$163
2020-03-31,$29
2019-12-31,$702
2019-09-30,$530
2019-06-30,$427
2019-03-31,$760
2018-12-31,$432
2018-09-30,$421
2018-06-30,$579
2018-03-31,$686
2017-12-31,$476
2017-09-30,$999
2017-06-30,$340
2017-03-31,$290
2016-12-31,$358
2016-09-30,$501
2016-06-30,$305
2016-03-31,$308
2015-12-31,$628
2015-09-30,$362
2015-06-30,$289
2015-03-31,$343
2014-12-31,$353
2014-09-30,$328
2014-06-30,$412
2014-03-31,$309
2013-12-31,$383
2013-09-30,$421
2013-06-30,$582
2013-03-31,$413
2012-12-31,$395
2012-09-30,$354
2012-06-30,$373
2012-03-31,$419
2011-12-31,$309
2011-09-30,$371
2011-06-30,$326
2011-03-31,$88
2010-12-31,$267
2010-09-30,$175
2010-06-30,$130
2010-03-31,$-72
2009-12-31,$-160
2009-09-30,$-159
2009-06-30,$856
2009-03-31,$-26
