Estee Lauder Quarterly Net Income (Millions of US $),Estee Lauder Quarterly Net Income (Millions of US $).1
2024-03-31,$330
2023-12-31,$313
2023-09-30,$31
2023-06-30,$-33
2023-03-31,$156
2022-12-31,$394
2022-09-30,$489
2022-06-30,$52
2022-03-31,$558
2021-12-31,"$1,088"
2021-09-30,$692
2021-06-30,"$1,018"
2021-03-31,$456
2020-12-31,$873
2020-09-30,$523
2020-06-30,$-462
2020-03-31,$-6
2019-12-31,$557
2019-09-30,$595
2019-06-30,$157
2019-03-31,$555
2018-12-31,$573
2018-09-30,$500
2018-06-30,$186
2018-03-31,$372
2017-12-31,$123
2017-09-30,$427
2017-06-30,$229
2017-03-31,$298
2016-12-31,$428
2016-09-30,$294
2016-06-30,$94
2016-03-31,$265
2015-12-31,$447
2015-09-30,$309
2015-06-30,$153
2015-03-31,$272
2014-12-31,$436
2014-09-30,$228
2014-06-30,$258
2014-03-31,$213
2013-12-31,$433
2013-09-30,$301
2013-06-30,$94
2013-03-31,$179
2012-12-31,$448
2012-09-30,$300
2012-06-30,$51
2012-03-31,$130
2011-12-31,$397
2011-09-30,$279
2011-06-30,$41
2011-03-31,$125
2010-12-31,$344
2010-09-30,$191
2010-06-30,$24
2010-03-31,$58
2009-12-31,$256
2009-09-30,$141
2009-06-30,$-18
2009-03-31,$27
