Kenvue Quarterly Net Income (Millions of US $),Kenvue Quarterly Net Income (Millions of US $).1
2024-03-31,$296
2023-12-31,$327
2023-09-30,$438
2023-06-30,$430
2023-03-31,$469
2022-12-31,$346
2022-09-30,$586
2022-06-30,$604
2022-03-31,$528
2021-12-31,
2020-12-31,
2019-12-31,
