Genuine Parts Quarterly Net Income (Millions of US $),Genuine Parts Quarterly Net Income (Millions of US $).1
2024-03-31,$249
2023-12-31,$317
2023-09-30,$351
2023-06-30,$344
2023-03-31,$304
2022-12-31,$252
2022-09-30,$312
2022-06-30,$373
2022-03-31,$246
2021-12-31,$256
2021-09-30,$229
2021-06-30,$196
2021-03-31,$218
2020-12-31,$171
2020-09-30,$228
2020-06-30,$-564
2020-03-31,$137
2019-12-31,$9
2019-09-30,$227
2019-06-30,$224
2019-03-31,$160
2018-12-31,$187
2018-09-30,$220
2018-06-30,$227
2018-03-31,$177
2017-12-31,$108
2017-09-30,$158
2017-06-30,$190
2017-03-31,$160
2016-12-31,$153
2016-09-30,$185
2016-06-30,$191
2016-03-31,$158
2015-12-31,$161
2015-09-30,$188
2015-06-30,$195
2015-03-31,$161
2014-12-31,$166
2014-09-30,$191
2014-06-30,$198
2014-03-31,$157
2013-12-31,$150
2013-09-30,$174
2013-06-30,$216
2013-03-31,$144
2012-12-31,$160
2012-09-30,$173
2012-06-30,$169
2012-03-31,$146
2011-12-31,$135
2011-09-30,$152
2011-06-30,$152
2011-03-31,$127
2010-12-31,$119
2010-09-30,$132
2010-06-30,$124
2010-03-31,$101
2009-12-31,$99
2009-09-30,$108
2009-06-30,$104
2009-03-31,$89
