VICI Properties Quarterly Net Income (Millions of US $),VICI Properties Quarterly Net Income (Millions of US $).1
2024-03-31,$590
2023-12-31,$748
2023-09-30,$556
2023-06-30,$691
2023-03-31,$519
2022-12-31,$604
2022-09-30,$331
2022-06-30,$-58
2022-03-31,$240
2021-12-31,$281
2021-09-30,$162
2021-06-30,$301
2021-03-31,$270
2020-12-31,$288
2020-09-30,$398
2020-06-30,$229
2020-03-31,$-24
2019-12-31,$99
2019-09-30,$144
2019-06-30,$152
2019-03-31,$151
2018-12-31,$143
2018-09-30,$130
2018-06-30,$139
2018-03-31,$112
2017-12-31,
