Schlumberger Quarterly Net Income (Millions of US $),Schlumberger Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,068"
2023-12-31,"$1,113"
2023-09-30,"$1,123"
2023-06-30,"$1,033"
2023-03-31,$934
2022-12-31,"$1,065"
2022-09-30,$907
2022-06-30,$959
2022-03-31,$510
2021-12-31,$601
2021-09-30,$550
2021-06-30,$431
2021-03-31,$299
2020-12-31,$374
2020-09-30,$-82
2020-06-30,"$-3,434"
2020-03-31,"$-7,376"
2019-12-31,$333
2019-09-30,"$-11,383"
2019-06-30,$492
2019-03-31,$421
2018-12-31,$539
2018-09-30,$644
2018-06-30,$430
2018-03-31,$525
2017-12-31,"$-2,255"
2017-09-30,$545
2017-06-30,$-74
2017-03-31,$279
2016-12-31,$-204
2016-09-30,$176
2016-06-30,"$-2,160"
2016-03-31,$501
2015-12-31,"$-1,016"
2015-09-30,$989
2015-06-30,"$1,124"
2015-03-31,$975
2014-12-31,$302
2014-09-30,"$1,949"
2014-06-30,"$1,595"
2014-03-31,"$1,592"
2013-12-31,"$1,663"
2013-09-30,"$1,715"
2013-06-30,"$2,095"
2013-03-31,"$1,259"
2012-12-31,"$1,362"
2012-09-30,"$1,424"
2012-06-30,"$1,403"
2012-03-31,"$1,301"
2011-12-31,"$1,413"
2011-09-30,"$1,301"
2011-06-30,"$1,339"
2011-03-31,$944
2010-12-31,"$1,043"
2010-09-30,"$1,734"
2010-06-30,$818
2010-03-31,$672
2009-12-31,$796
2009-09-30,$787
2009-06-30,$613
2009-03-31,$938
