Stanley Black & Decker Quarterly Net Income (Millions of US $),Stanley Black & Decker Quarterly Net Income (Millions of US $).1
2024-03-31,$20
2023-12-31,$-276
2023-09-30,$5
2023-06-30,$177
2023-03-31,$-188
2022-12-31,$-943
2022-09-30,$845
2022-06-30,$88
2022-03-31,$175
2021-12-31,$244
2021-09-30,$380
2021-06-30,$429
2021-03-31,$486
2020-12-31,$377
2020-09-30,$386
2020-06-30,$234
2020-03-31,$133
2019-12-31,$196
2019-09-30,$231
2019-06-30,$356
2019-03-31,$170
2018-12-31,$-109
2018-09-30,$248
2018-06-30,$294
2018-03-31,$171
2017-12-31,$282
2017-09-30,$275
2017-06-30,$278
2017-03-31,$394
2016-12-31,$258
2016-09-30,$249
2016-06-30,$272
2016-03-31,$189
2015-12-31,$286
2015-09-30,$229
2015-06-30,$227
2015-03-31,$162
2014-12-31,$146
2014-09-30,$237
2014-06-30,$217
2014-03-31,$162
2013-12-31,$56
2013-09-30,$166
2013-06-30,$187
2013-03-31,$81
2012-12-31,$492
2012-09-30,$115
2012-06-30,$155
2012-03-31,$122
2011-12-31,$164
2011-09-30,$155
2011-06-30,$197
2011-03-31,$159
2010-12-31,$137
2010-09-30,$123
2010-06-30,$46
2010-03-31,$-109
2009-12-31,$57
2009-09-30,$60
2009-06-30,$70
2009-03-31,$38
