Tesla Quarterly Net Income (Millions of US $),Tesla Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,171"
2023-12-31,"$7,925"
2023-09-30,"$1,853"
2023-06-30,"$2,703"
2023-03-31,"$2,518"
2022-12-31,"$3,719"
2022-09-30,"$3,292"
2022-06-30,"$2,259"
2022-03-31,"$3,313"
2021-12-31,"$2,326"
2021-09-30,"$1,618"
2021-06-30,"$1,142"
2021-03-31,$438
2020-12-31,$270
2020-09-30,$300
2020-06-30,$104
2020-03-31,$16
2019-12-31,$113
2019-09-30,$143
2019-06-30,$-408
2019-03-31,$-710
2018-12-31,$140
2018-09-30,$311
2018-06-30,$-718
2018-03-31,$-710
2017-12-31,$-676
2017-09-30,$-619
2017-06-30,$-336
2017-03-31,$-330
2016-12-31,$-121
2016-09-30,$22
2016-06-30,$-293
2016-03-31,$-282
2015-12-31,$-320
2015-09-30,$-230
2015-06-30,$-184
2015-03-31,$-154
2014-12-31,$-108
2014-09-30,$-75
2014-06-30,$-62
2014-03-31,$-50
2013-12-31,$-16
2013-09-30,$-38
2013-06-30,$-31
2013-03-31,$11
2012-12-31,$-90
2012-09-30,$-111
2012-06-30,$-106
2012-03-31,$-90
2011-12-31,$-81
2011-09-30,$-65
2011-06-30,$-59
2011-03-31,$-49
2010-12-31,$-51
2010-09-30,$-35
2010-06-30,$-39
2010-03-31,$-30
2009-12-31,
2009-09-30,$-5
2009-06-30,$-11
