S&P Global Quarterly Net Income (Millions of US $),S&P Global Quarterly Net Income (Millions of US $).1
2024-03-31,$991
2023-12-31,$578
2023-09-30,$742
2023-06-30,$511
2023-03-31,$795
2022-12-31,$433
2022-09-30,$608
2022-06-30,$972
2022-03-31,"$1,235"
2021-12-31,$674
2021-09-30,$797
2021-06-30,$798
2021-03-31,$755
2020-12-31,$453
2020-09-30,$455
2020-06-30,$792
2020-03-31,$639
2019-12-31,$541
2019-09-30,$617
2019-06-30,$555
2019-03-31,$410
2018-12-31,$511
2018-09-30,$495
2018-06-30,$461
2018-03-31,$491
2017-12-31,$262
2017-09-30,$414
2017-06-30,$421
2017-03-31,$399
2016-12-31,$537
2016-09-30,$892
2016-06-30,$383
2016-03-31,$294
2015-12-31,$248
2015-09-30,$252
2015-06-30,$353
2015-03-31,$303
2014-12-31,$-845
2014-09-30,$190
2014-06-30,$292
2014-03-31,$248
2013-12-31,$172
2013-09-30,$215
2013-06-30,$254
2013-03-31,$735
2012-12-31,$-216
2012-09-30,$314
2012-06-30,$216
2012-03-31,$123
2011-12-31,$214
2011-09-30,$366
2011-06-30,$211
2011-03-31,$120
2010-12-31,$154
2010-09-30,$380
2010-06-30,$191
2010-03-31,$103
2009-12-31,$168
2009-09-30,$336
2009-06-30,$164
2009-03-31,$63
