Netflix Quarterly Net Income (Millions of US $),Netflix Quarterly Net Income (Millions of US $).1
2024-03-31,"$2,332"
2023-12-31,$938
2023-09-30,"$1,677"
2023-06-30,"$1,488"
2023-03-31,"$1,305"
2022-12-31,$55
2022-09-30,"$1,398"
2022-06-30,"$1,441"
2022-03-31,"$1,597"
2021-12-31,$607
2021-09-30,"$1,449"
2021-06-30,"$1,353"
2021-03-31,"$1,707"
2020-12-31,$542
2020-09-30,$790
2020-06-30,$720
2020-03-31,$709
2019-12-31,$587
2019-09-30,$665
2019-06-30,$271
2019-03-31,$344
2018-12-31,$134
2018-09-30,$403
2018-06-30,$384
2018-03-31,$290
2017-12-31,$186
2017-09-30,$130
2017-06-30,$66
2017-03-31,$178
2016-12-31,$67
2016-09-30,$52
2016-06-30,$41
2016-03-31,$28
2015-12-31,$43
2015-09-30,$29
2015-06-30,$26
2015-03-31,$24
2014-12-31,$83
2014-09-30,$59
2014-06-30,$71
2014-03-31,$53
2013-12-31,$48
2013-09-30,$32
2013-06-30,$29
2013-03-31,$3
2012-12-31,$8
2012-09-30,$8
2012-06-30,$6
2012-03-31,$-5
2011-12-31,$35
2011-09-30,$62
2011-06-30,$68
2011-03-31,$60
2010-12-31,$47
2010-09-30,$38
2010-06-30,$44
2010-03-31,$32
2009-12-31,$31
2009-09-30,$30
2009-06-30,$32
2009-03-31,$22
