Loews Quarterly Net Income (Millions of US $),Loews Quarterly Net Income (Millions of US $).1
2024-03-31,$457
2023-12-31,$446
2023-09-30,$253
2023-06-30,$360
2023-03-31,$375
2022-12-31,$355
2022-09-30,$-22
2022-06-30,$167
2022-03-31,$322
2021-12-31,$327
2021-09-30,$220
2021-06-30,$754
2021-03-31,$261
2020-12-31,$397
2020-09-30,$139
2020-06-30,$-835
2020-03-31,$-632
2019-12-31,$217
2019-09-30,$72
2019-06-30,$249
2019-03-31,$394
2018-12-31,$-165
2018-09-30,$278
2018-06-30,$230
2018-03-31,$293
2017-12-31,$481
2017-09-30,$157
2017-06-30,$231
2017-03-31,$295
2016-12-31,$290
2016-09-30,$327
2016-06-30,$-65
2016-03-31,$102
2015-12-31,$-201
2015-09-30,$182
2015-06-30,$170
2015-03-31,$109
2014-12-31,$208
2014-09-30,$208
2014-06-30,$116
2014-03-31,$59
2013-12-31,$-198
2013-09-30,$282
2013-06-30,$269
2013-03-31,$242
2012-12-31,$-32
2012-09-30,$177
2012-06-30,$56
2012-03-31,$367
2011-12-31,$271
2011-09-30,$162
2011-06-30,$250
2011-03-31,$379
2010-12-31,$467
2010-09-30,$36
2010-06-30,$366
2010-03-31,$420
2009-12-31,$403
2009-09-30,$468
2009-06-30,$340
2009-03-31,$-647
