Baxter Quarterly Net Income (Millions of US $),Baxter Quarterly Net Income (Millions of US $).1
2024-03-31,$37
2023-12-31,$245
2023-09-30,"$2,508"
2023-06-30,$-141
2023-03-31,$44
2022-12-31,$181
2022-09-30,"$-2,937"
2022-06-30,$252
2022-03-31,$71
2021-12-31,$238
2021-09-30,$450
2021-06-30,$298
2021-03-31,$298
2020-12-31,$168
2020-09-30,$356
2020-06-30,$246
2020-03-31,$332
2019-12-31,$-23
2019-09-30,$369
2019-06-30,$313
2019-03-31,$342
2018-12-31,$296
2018-09-30,$518
2018-06-30,$343
2018-03-31,$389
2017-12-31,$-186
2017-09-30,$251
2017-06-30,$265
2017-03-31,$272
2016-12-31,$243
2016-09-30,$130
2016-06-30,"$1,212"
2016-03-31,"$3,380"
2015-12-31,$205
2015-09-30,$1
2015-06-30,$332
2015-03-31,$430
2014-12-31,$953
2014-09-30,$468
2014-06-30,$520
2014-03-31,$556
2013-12-31,$326
2013-09-30,$544
2013-06-30,$590
2013-03-31,$552
2012-12-31,$494
2012-09-30,$583
2012-06-30,$661
2012-03-31,$588
2011-12-31,$463
2011-09-30,$576
2011-06-30,$615
2011-03-31,$570
2010-12-31,$423
2010-09-30,$525
2010-06-30,$535
2010-03-31,$-63
2009-12-31,$572
2009-09-30,$530
2009-06-30,$587
2009-03-31,$516
