Transdigm Group Quarterly Net Income (Millions of US $),Transdigm Group Quarterly Net Income (Millions of US $).1
2024-03-31,$403
2023-12-31,$281
2023-09-30,$415
2023-06-30,$351
2023-03-31,$304
2022-12-31,$190
2022-09-30,$226
2022-06-30,$238
2022-03-31,$199
2021-12-31,$117
2021-09-30,$209
2021-06-30,$317
2021-03-31,$104
2020-12-31,$-23
2020-09-30,$82
2020-06-30,$-6
2020-03-31,$319
2019-12-31,$119
2019-09-30,$236
2019-06-30,$145
2019-03-31,$202
2018-12-31,$196
2018-09-30,$229
2018-06-30,$217
2018-03-31,$196
2017-12-31,$259
2017-09-30,$90
2017-06-30,$169
2017-03-31,$156
2016-12-31,$23
2016-09-30,$155
2016-06-30,$161
2016-03-31,$142
2015-12-31,$126
2015-09-30,$142
2015-06-30,$99
2015-03-31,$111
2014-12-31,$92
2014-09-30,$108
2014-06-30,$-95
2014-03-31,$85
2013-12-31,$82
2013-09-30,$-11
2013-06-30,$39
2013-03-31,$68
2012-12-31,$36
2012-09-30,$88
2012-06-30,$90
2012-03-31,$82
2011-12-31,$62
2011-09-30,$67
2011-06-30,$56
2011-03-31,$56
2010-12-31,$-10
2010-09-30,$51
2010-06-30,$44
2010-03-31,$38
2009-12-31,$0
2009-09-30,$42
2009-06-30,$41
2009-03-31,$40
