Martin Marietta Materials Quarterly Net Income (Millions of US $),Martin Marietta Materials Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,045"
2023-12-31,$283
2023-09-30,$417
2023-06-30,$348
2023-03-31,$121
2022-12-31,$184
2022-09-30,$295
2022-06-30,$367
2022-03-31,$21
2021-12-31,$157
2021-09-30,$255
2021-06-30,$226
2021-03-31,$65
2020-12-31,$183
2020-09-30,$294
2020-06-30,$218
2020-03-31,$26
2019-12-31,$128
2019-09-30,$251
2019-06-30,$190
2019-03-31,$43
2018-12-31,$94
2018-09-30,$180
2018-06-30,$185
2018-03-31,$10
2017-12-31,$377
2017-09-30,$152
2017-06-30,$142
2017-03-31,$42
2016-12-31,$99
2016-09-30,$159
2016-06-30,$122
2016-03-31,$45
2015-12-31,$83
2015-09-30,$118
2015-06-30,$82
2015-03-31,$6
2014-12-31,$64
2014-09-30,$54
2014-06-30,$60
2014-03-31,$-22
2013-12-31,$36
2013-09-30,$72
2013-06-30,$41
2013-03-31,$-28
2012-12-31,$22
2012-09-30,$63
2012-06-30,$37
2012-03-31,$-37
2011-12-31,$15
2011-09-30,$49
2011-06-30,$36
2011-03-31,$-17
2010-12-31,$15
2010-09-30,$52
2010-06-30,$54
2010-03-31,$-24
2009-12-31,$-3
2009-09-30,$56
2009-06-30,$39
2009-03-31,$-6
