Amcor Quarterly Net Income (Millions of US $),Amcor Quarterly Net Income (Millions of US $).1
2024-03-31,$187
2023-12-31,$134
2023-09-30,$152
2023-06-30,$180
2023-03-31,$177
2022-12-31,$459
2022-09-30,$232
2022-06-30,$109
2022-03-31,$269
2021-12-31,$225
2021-09-30,$202
2021-06-30,$255
2021-03-31,$267
2020-12-31,$219
2020-09-30,$198
2020-06-30,$179
2020-03-31,$181
2019-12-31,$186
2019-09-30,$66
2019-06-30,$80
2019-03-31,$113
2018-12-31,
2018-09-30,$98
2018-06-30,$47
2018-03-31,$48
2017-12-31,
2017-09-30,$56
2017-06-30,$28
2017-03-31,$51
2016-12-31,
2016-09-30,$69
2016-06-30,$51
2016-03-31,$56
2015-12-31,
2015-09-30,$63
2015-06-30,$66
2015-03-31,$54
2014-12-31,
2014-09-30,$17
2014-06-30,$66
2014-03-31,$49
2013-12-31,
2013-09-30,$54
2013-06-30,$53
2013-03-31,$49
2012-12-31,
2012-09-30,$47
2012-06-30,$42
2012-03-31,$44
2011-12-31,
2011-09-30,$55
2011-06-30,$54
2011-03-31,$50
2010-12-31,
2010-09-30,$60
2010-06-30,$59
2010-03-31,$30
2009-12-31,
2009-09-30,$35
2009-06-30,$47
2009-03-31,$36
