Gen Digital Quarterly Net Income (Millions of US $),Gen Digital Quarterly Net Income (Millions of US $).1
2024-03-31,$134
2023-12-31,$144
2023-09-30,$149
2023-06-30,$189
2023-03-31,$915
2022-12-31,$165
2022-09-30,$69
2022-06-30,$200
2022-03-31,$120
2021-12-31,$202
2021-09-30,$333
2021-06-30,$181
2021-03-31,$194
2020-12-31,$178
2020-09-30,$64
2020-06-30,$118
2020-03-31,$231
2019-12-31,"$2,845"
2019-09-30,$785
2019-06-30,$26
2019-03-31,$34
2018-12-31,$65
2018-09-30,$-8
2018-06-30,$-60
2018-03-31,$-59
2017-12-31,"$1,342"
2017-09-30,$-12
2017-06-30,$-133
2017-03-31,$-143
2016-12-31,$46
2016-09-30,$-144
2016-06-30,$135
2016-03-31,"$2,045"
2015-12-31,$170
2015-09-30,$156
2015-06-30,$117
2015-03-31,$176
2014-12-31,$222
2014-09-30,$244
2014-06-30,$236
2014-03-31,$217
2013-12-31,$283
2013-09-30,$241
2013-06-30,$157
2013-03-31,$190
2012-12-31,$216
2012-09-30,$189
2012-06-30,$160
2012-03-31,$574
2011-12-31,$240
2011-09-30,$182
2011-06-30,$191
2011-03-31,$168
2010-12-31,$132
2010-09-30,$136
2010-06-30,$161
2010-03-31,$184
2009-12-31,$301
2009-09-30,$155
2009-06-30,$74
2009-03-31,$-264
