Corning Quarterly Net Income (Millions of US $),Corning Quarterly Net Income (Millions of US $).1
2024-03-31,$209
2023-12-31,$-40
2023-09-30,$164
2023-06-30,$281
2023-03-31,$176
2022-12-31,$-36
2022-09-30,$208
2022-06-30,$563
2022-03-31,$581
2021-12-31,"$1,290"
2021-09-30,$371
2021-06-30,$-354
2021-03-31,$599
2020-12-31,$203
2020-09-30,$427
2020-06-30,$-96
2020-03-31,$-120
2019-12-31,$6
2019-09-30,$313
2019-06-30,$68
2019-03-31,$475
2018-12-31,$266
2018-09-30,$601
2018-06-30,$714
2018-03-31,$-613
2017-12-31,"$-1,462"
2017-09-30,$366
2017-06-30,$439
2017-03-31,$62
2016-12-31,"$1,546"
2016-09-30,$260
2016-06-30,"$2,183"
2016-03-31,$-392
2015-12-31,$198
2015-09-30,$188
2015-06-30,$472
2015-03-31,$383
2014-12-31,$963
2014-09-30,$990
2014-06-30,$145
2014-03-31,$280
2013-12-31,$421
2013-09-30,$408
2013-06-30,$638
2013-03-31,$494
2012-12-31,$155
2012-09-30,$533
2012-06-30,$474
2012-03-31,$474
2011-12-31,$503
2011-09-30,$811
2011-06-30,$755
2011-03-31,$748
2010-12-31,"$1,044"
2010-09-30,$785
2010-06-30,$913
2010-03-31,$816
2009-12-31,$740
2009-09-30,$643
2009-06-30,$611
2009-03-31,$14
