Textron Quarterly Net Income (Millions of US $),Textron Quarterly Net Income (Millions of US $).1
2024-03-31,$201
2023-12-31,$198
2023-09-30,$269
2023-06-30,$263
2023-03-31,$191
2022-12-31,$226
2022-09-30,$225
2022-06-30,$217
2022-03-31,$193
2021-12-31,$207
2021-09-30,$185
2021-06-30,$183
2021-03-31,$171
2020-12-31,$236
2020-09-30,$115
2020-06-30,$-92
2020-03-31,$50
2019-12-31,$199
2019-09-30,$220
2019-06-30,$217
2019-03-31,$179
2018-12-31,$246
2018-09-30,$563
2018-06-30,$224
2018-03-31,$189
2017-12-31,$-106
2017-09-30,$159
2017-06-30,$153
2017-03-31,$101
2016-12-31,$214
2016-09-30,$421
2016-06-30,$177
2016-03-31,$150
2015-12-31,$226
2015-09-30,$176
2015-06-30,$167
2015-03-31,$128
2014-12-31,$212
2014-09-30,$159
2014-06-30,$144
2014-03-31,$85
2013-12-31,$167
2013-09-30,$99
2013-06-30,$113
2013-03-31,$119
2012-12-31,$148
2012-09-30,$151
2012-06-30,$172
2012-03-31,$118
2011-12-31,$-19
2011-09-30,$142
2011-06-30,$90
2011-03-31,$29
2010-12-31,$60
2010-09-30,$-48
2010-06-30,$82
2010-03-31,$-8
2009-12-31,$-63
2009-09-30,$4
2009-06-30,$-58
2009-03-31,$86
