Federal Realty Investment Trust Quarterly Net Income (Millions of US $),Federal Realty Investment Trust Quarterly Net Income (Millions of US $).1
2024-03-31,$55
2023-12-31,$61
2023-09-30,$55
2023-06-30,$58
2023-03-31,$53
2022-12-31,$112
2022-09-30,$154
2022-06-30,$60
2022-03-31,$50
2021-12-31,$112
2021-09-30,$50
2021-06-30,$44
2021-03-31,$46
2020-12-31,$93
2020-09-30,$-30
2020-06-30,$8
2020-03-31,$53
2019-12-31,$144
2019-09-30,$63
2019-06-30,$79
2019-03-31,$58
2018-12-31,$52
2018-09-30,$61
2018-06-30,$62
2018-03-31,$59
2017-12-31,$48
2017-09-30,$107
2017-06-30,$76
2017-03-31,$56
2016-12-31,$58
2016-09-30,$59
2016-06-30,$56
2016-03-31,$77
2015-12-31,$67
2015-09-30,$52
2015-06-30,$43
2015-03-31,$46
2014-12-31,$34
2014-09-30,$47
2014-06-30,$43
2014-03-31,$39
2013-12-31,$27
2013-09-30,$62
2013-06-30,$37
2013-03-31,$34
2012-12-31,$37
2012-09-30,$38
2012-06-30,$32
2012-03-31,$43
2011-12-31,$30
2011-09-30,$47
2011-06-30,$34
2011-03-31,$31
2010-12-31,$32
2010-09-30,$30
2010-06-30,$31
2010-03-31,$29
2009-12-31,$32
2009-09-30,$27
2009-06-30,$28
2009-03-31,$10
