CoStar Quarterly Net Income (Millions of US $),CoStar Quarterly Net Income (Millions of US $).1
2024-03-31,$7
2023-12-31,$97
2023-09-30,$91
2023-06-30,$101
2023-03-31,$87
2022-12-31,$124
2022-09-30,$72
2022-06-30,$83
2022-03-31,$89
2021-12-31,$93
2021-09-30,$64
2021-06-30,$61
2021-03-31,$74
2020-12-31,$36
2020-09-30,$58
2020-06-30,$60
2020-03-31,$73
2019-12-31,$88
2019-09-30,$79
2019-06-30,$63
2019-03-31,$85
2018-12-31,$84
2018-09-30,$59
2018-06-30,$44
2018-03-31,$52
2017-12-31,$44
2017-09-30,$34
2017-06-30,$22
2017-03-31,$22
2016-12-31,$30
2016-09-30,$23
2016-06-30,$16
2016-03-31,$17
2015-12-31,$23
2015-09-30,$-5
2015-06-30,$-15
2015-03-31,$-6
2014-12-31,$14
2014-09-30,$13
2014-06-30,$8
2014-03-31,$10
2013-12-31,$13
2013-09-30,$11
2013-06-30,$8
2013-03-31,$-2
2012-12-31,$5
2012-09-30,$7
2012-06-30,$-7
2012-03-31,$5
2011-12-31,$5
2011-09-30,$2
2011-06-30,$3
2011-03-31,$5
2010-12-31,$4
2010-09-30,$3
2010-06-30,$3
2010-03-31,$3
2009-12-31,$4
2009-09-30,$4
2009-06-30,$5
2009-03-31,$6
