Walmart Quarterly Net Income (Millions of US $),Walmart Quarterly Net Income (Millions of US $).1
2024-04-30,"$5,104"
2024-01-31,"$5,494"
2023-10-31,$453
2023-07-31,"$7,891"
2023-04-30,"$1,673"
2023-01-31,"$6,275"
2022-10-31,"$-1,798"
2022-07-31,"$5,149"
2022-04-30,"$2,054"
2022-01-31,"$3,562"
2021-10-31,"$3,105"
2021-07-31,"$4,276"
2021-04-30,"$2,730"
2021-01-31,"$-2,091"
2020-10-31,"$5,135"
2020-07-31,"$6,476"
2020-04-30,"$3,990"
2020-01-31,"$4,141"
2019-10-31,"$3,288"
2019-07-31,"$3,610"
2019-04-30,"$3,842"
2019-01-31,"$3,687"
2018-10-31,"$1,710"
2018-07-31,$-861
2018-04-30,"$2,134"
2018-01-31,"$2,175"
2017-10-31,"$1,749"
2017-07-31,"$2,899"
2017-04-30,"$3,039"
2017-01-31,"$3,757"
2016-10-31,"$3,034"
2016-07-31,"$3,773"
2016-04-30,"$3,079"
2016-01-31,"$4,574"
2015-10-31,"$3,304"
2015-07-31,"$3,475"
2015-04-30,"$3,341"
2015-01-31,"$4,966"
2014-10-31,"$3,711"
2014-07-31,"$4,093"
2014-04-30,"$3,593"
2014-01-31,"$4,431"
2013-10-31,"$3,738"
2013-07-31,"$4,069"
2013-04-30,"$3,784"
2013-01-31,"$5,606"
2012-10-31,"$3,635"
2012-07-31,"$4,016"
2012-04-30,"$3,742"
2012-01-31,"$5,163"
2011-10-31,"$3,336"
2011-07-31,"$3,801"
2011-04-30,"$3,399"
2011-01-31,"$6,056"
2010-10-31,"$3,436"
2010-07-31,"$3,596"
2010-04-30,"$3,301"
2010-01-31,"$4,732"
2009-10-31,"$3,144"
2009-07-31,"$3,472"
2009-04-30,"$3,022"
2009-01-31,"$3,772"
