Marathon Petroleum Quarterly Net Income (Millions of US $),Marathon Petroleum Quarterly Net Income (Millions of US $).1
2024-03-31,$937
2023-12-31,"$1,451"
2023-09-30,"$3,280"
2023-06-30,"$2,226"
2023-03-31,"$2,724"
2022-12-31,"$3,321"
2022-09-30,"$4,477"
2022-06-30,"$5,873"
2022-03-31,$845
2021-12-31,$774
2021-09-30,$694
2021-06-30,"$8,512"
2021-03-31,$-242
2020-12-31,$285
2020-09-30,$-886
2020-06-30,$9
2020-03-31,"$-9,234"
2019-12-31,$443
2019-09-30,"$1,095"
2019-06-30,"$1,106"
2019-03-31,$-7
2018-12-31,$951
2018-09-30,$737
2018-06-30,"$1,055"
2018-03-31,$37
2017-12-31,"$2,016"
2017-09-30,$903
2017-06-30,$483
2017-03-31,$30
2016-12-31,$227
2016-09-30,$145
2016-06-30,$801
2016-03-31,$1
2015-12-31,$187
2015-09-30,$948
2015-06-30,$826
2015-03-31,$891
2014-12-31,$799
2014-09-30,$672
2014-06-30,$854
2014-03-31,$199
2013-12-31,$622
2013-09-30,$168
2013-06-30,$593
2013-03-31,$725
2012-12-31,$749
2012-09-30,"$1,224"
2012-06-30,$814
2012-03-31,$596
2011-12-31,$-77
2011-09-30,"$1,131"
2011-06-30,$802
2011-03-31,$529
2010-12-31,
2010-09-30,$277
2010-06-30,$405
2009-12-31,
