EOG Resources Quarterly Net Income (Millions of US $),EOG Resources Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,789"
2023-12-31,"$1,988"
2023-09-30,"$2,030"
2023-06-30,"$1,553"
2023-03-31,"$2,023"
2022-12-31,"$2,277"
2022-09-30,"$2,854"
2022-06-30,"$2,238"
2022-03-31,$390
2021-12-31,"$1,985"
2021-09-30,"$1,095"
2021-06-30,$907
2021-03-31,$677
2020-12-31,$337
2020-09-30,$-42
2020-06-30,$-910
2020-03-31,$10
2019-12-31,$637
2019-09-30,$615
2019-06-30,$848
2019-03-31,$635
2018-12-31,$893
2018-09-30,"$1,191"
2018-06-30,$697
2018-03-31,$639
2017-12-31,"$2,430"
2017-09-30,$101
2017-06-30,$23
2017-03-31,$29
2016-12-31,$-142
2016-09-30,$-190
2016-06-30,$-293
2016-03-31,$-472
2015-12-31,$-284
2015-09-30,"$-4,076"
2015-06-30,$5
2015-03-31,$-170
2014-12-31,$445
2014-09-30,"$1,104"
2014-06-30,$706
2014-03-31,$661
2013-12-31,$580
2013-09-30,$462
2013-06-30,$660
2013-03-31,$495
2012-12-31,$-505
2012-09-30,$355
2012-06-30,$396
2012-03-31,$324
2011-12-31,$121
2011-09-30,$541
2011-06-30,$296
2011-03-31,$134
2010-12-31,$54
2010-09-30,$-71
2010-06-30,$60
2010-03-31,$118
2009-12-31,$400
2009-09-30,$4
2009-06-30,$-17
2009-03-31,$159
