Generac Holdings Quarterly Net Income (Millions of US $),Generac Holdings Quarterly Net Income (Millions of US $).1
2024-03-31,$26
2023-12-31,$87
2023-09-30,$60
2023-06-30,$43
2023-03-31,$12
2022-12-31,$53
2022-09-30,$53
2022-06-30,$143
2022-03-31,$102
2021-12-31,$131
2021-09-30,$124
2021-06-30,$129
2021-03-31,$149
2020-12-31,$127
2020-09-30,$116
2020-06-30,$65
2020-03-31,$43
2019-12-31,$71
2019-09-30,$74
2019-06-30,$61
2019-03-31,$47
2018-12-31,$74
2018-09-30,$69
2018-06-30,$51
2018-03-31,$26
2017-12-31,$81
2017-09-30,$39
2017-06-30,$26
2017-03-31,$13
2016-12-31,$39
2016-09-30,$26
2016-06-30,$21
2016-03-31,$10
2015-12-31,$9
2015-09-30,$34
2015-06-30,$15
2015-03-31,$20
2014-12-31,$49
2014-09-30,$36
2014-06-30,$54
2014-03-31,$35
2013-12-31,$49
2013-09-30,$47
2013-06-30,$28
2013-03-31,$51
2012-12-31,$28
2012-09-30,$26
2012-06-30,$9
2012-03-31,$30
2011-12-31,$267
2011-09-30,$37
2011-06-30,$15
2011-03-31,$5
2010-12-31,$19
2010-09-30,$23
2010-06-30,$13
2010-03-31,$-152
2009-12-31,$-18
2009-09-30,$-15
2009-06-30,$-17
2009-03-31,$-21
