General Dynamics Quarterly Net Income (Millions of US $),General Dynamics Quarterly Net Income (Millions of US $).1
2024-03-31,$799
2023-12-31,"$1,005"
2023-09-30,$836
2023-06-30,$744
2023-03-31,$730
2022-12-31,$992
2022-09-30,$902
2022-06-30,$766
2022-03-31,$730
2021-12-31,$952
2021-09-30,$860
2021-06-30,$737
2021-03-31,$708
2020-12-31,"$1,002"
2020-09-30,$834
2020-06-30,$625
2020-03-31,$706
2019-12-31,"$1,020"
2019-09-30,$913
2019-06-30,$806
2019-03-31,$745
2018-12-31,$909
2018-09-30,$851
2018-06-30,$786
2018-03-31,$799
2017-12-31,$636
2017-09-30,$764
2017-06-30,$749
2017-03-31,$763
2016-12-31,$570
2016-09-30,$647
2016-06-30,$714
2016-03-31,$641
2015-12-31,$835
2015-09-30,$733
2015-06-30,$752
2015-03-31,$716
2014-12-31,$701
2014-09-30,$696
2014-06-30,$541
2014-03-31,$595
2013-12-31,$495
2013-09-30,$651
2013-06-30,$640
2013-03-31,$571
2012-12-31,"$-2,130"
2012-09-30,$600
2012-06-30,$634
2012-03-31,$564
2011-12-31,$603
2011-09-30,$652
2011-06-30,$653
2011-03-31,$618
2010-12-31,$729
2010-09-30,$650
2010-06-30,$648
2010-03-31,$597
2009-12-31,$614
2009-09-30,$572
2009-06-30,$618
2009-03-31,$590
