Tyler Technologies Quarterly Net Income (Millions of US $),Tyler Technologies Quarterly Net Income (Millions of US $).1
2024-03-31,$54
2023-12-31,$39
2023-09-30,$47
2023-06-30,$49
2023-03-31,$31
2022-12-31,$31
2022-09-30,$53
2022-06-30,$40
2022-03-31,$40
2021-12-31,$55
2021-09-30,$44
2021-06-30,$26
2021-03-31,$37
2020-12-31,$54
2020-09-30,$39
2020-06-30,$54
2020-03-31,$48
2019-12-31,$47
2019-09-30,$40
2019-06-30,$32
2019-03-31,$27
2018-12-31,$32
2018-09-30,$39
2018-06-30,$39
2018-03-31,$38
2017-12-31,$66
2017-09-30,$39
2017-06-30,$32
2017-03-31,$33
2016-12-31,$35
2016-09-30,$35
2016-06-30,$25
2016-03-31,$18
2015-12-31,$9
2015-09-30,$20
2015-06-30,$19
2015-03-31,$17
2014-12-31,$15
2014-09-30,$17
2014-06-30,$15
2014-03-31,$12
2013-12-31,$11
2013-09-30,$11
2013-06-30,$9
2013-03-31,$8
2012-12-31,$9
2012-09-30,$11
2012-06-30,$7
2012-03-31,$6
2011-12-31,$9
2011-09-30,$8
2011-06-30,$6
2011-03-31,$6
2010-12-31,$7
2010-09-30,$7
2010-06-30,$6
2010-03-31,$5
2009-12-31,$7
2009-09-30,$7
2009-06-30,$7
2009-03-31,$6
