Lockheed Martin Quarterly Net Income (Millions of US $),Lockheed Martin Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,545"
2023-12-31,"$1,866"
2023-09-30,"$1,684"
2023-06-30,"$1,681"
2023-03-31,"$1,689"
2022-12-31,"$1,912"
2022-09-30,"$1,778"
2022-06-30,$309
2022-03-31,"$1,733"
2021-12-31,"$2,049"
2021-09-30,$614
2021-06-30,"$1,815"
2021-03-31,"$1,837"
2020-12-31,"$1,792"
2020-09-30,"$1,698"
2020-06-30,"$1,626"
2020-03-31,"$1,717"
2019-12-31,"$1,498"
2019-09-30,"$1,608"
2019-06-30,"$1,420"
2019-03-31,"$1,704"
2018-12-31,"$1,253"
2018-09-30,"$1,473"
2018-06-30,"$1,163"
2018-03-31,"$1,157"
2017-12-31,$-744
2017-09-30,$963
2017-06-30,$955
2017-03-31,$789
2016-12-31,$859
2016-09-30,"$2,395"
2016-06-30,"$1,021"
2016-03-31,$898
2015-12-31,$933
2015-09-30,$865
2015-06-30,$929
2015-03-31,$878
2014-12-31,$904
2014-09-30,$888
2014-06-30,$889
2014-03-31,$933
2013-12-31,$488
2013-09-30,$873
2013-06-30,$859
2013-03-31,$761
2012-12-31,$569
2012-09-30,$727
2012-06-30,$781
2012-03-31,$668
2011-12-31,$683
2011-09-30,$700
2011-06-30,$742
2011-03-31,$530
2010-12-31,$961
2010-09-30,$560
2010-06-30,$824
2010-03-31,$533
2009-12-31,$776
2009-09-30,$797
2009-06-30,$734
2009-03-31,$666
