Aon Quarterly Net Income (Millions of US $),Aon Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,071"
2023-12-31,$498
2023-09-30,$456
2023-06-30,$560
2023-03-31,"$1,050"
2022-12-31,$657
2022-09-30,$408
2022-06-30,$501
2022-03-31,"$1,023"
2021-12-31,$863
2021-09-30,$-900
2021-06-30,$379
2021-03-31,$913
2020-12-31,$524
2020-09-30,$275
2020-06-30,$398
2020-03-31,$772
2019-12-31,$374
2019-09-30,$222
2019-06-30,$277
2019-03-31,$659
2018-12-31,$345
2018-09-30,$147
2018-06-30,$48
2018-03-31,$594
2017-12-31,$-19
2017-09-30,$185
2017-06-30,$769
2017-03-31,$291
2016-12-31,$452
2016-09-30,$319
2016-06-30,$300
2016-03-31,$325
2015-12-31,$584
2015-09-30,$295
2015-06-30,$178
2015-03-31,$328
2014-12-31,$459
2014-09-30,$309
2014-06-30,$304
2014-03-31,$325
2013-12-31,$355
2013-09-30,$256
2013-06-30,$241
2013-03-31,$261
2012-12-31,$305
2012-09-30,$204
2012-06-30,$246
2012-03-31,$238
2011-12-31,$277
2011-09-30,$198
2011-06-30,$258
2011-03-31,$246
2010-12-31,$231
2010-09-30,$144
2010-06-30,$153
2010-03-31,$178
2009-12-31,$198
2009-09-30,$120
2009-06-30,$149
2009-03-31,$280
