Eversource Energy Quarterly Net Income (Millions of US $),Eversource Energy Quarterly Net Income (Millions of US $).1
2024-03-31,$522
2023-12-31,"$-1,288"
2023-09-30,$340
2023-06-30,$15
2023-03-31,$491
2022-12-31,$320
2022-09-30,$349
2022-06-30,$292
2022-03-31,$443
2021-12-31,$307
2021-09-30,$283
2021-06-30,$265
2021-03-31,$366
2020-12-31,$272
2020-09-30,$346
2020-06-30,$252
2020-03-31,$335
2019-12-31,$250
2019-09-30,$319
2019-06-30,$31
2019-03-31,$309
2018-12-31,$231
2018-09-30,$289
2018-06-30,$243
2018-03-31,$270
2017-12-31,$237
2017-09-30,$260
2017-06-30,$231
2017-03-31,$259
2016-12-31,$229
2016-09-30,$265
2016-06-30,$204
2016-03-31,$244
2015-12-31,$182
2015-09-30,$236
2015-06-30,$208
2015-03-31,$253
2014-12-31,$222
2014-09-30,$235
2014-06-30,$127
2014-03-31,$236
2013-12-31,$177
2013-09-30,$210
2013-06-30,$171
2013-03-31,$228
2012-12-31,$175
2012-09-30,$208
2012-06-30,$44
2012-03-31,$99
2011-12-31,$113
2011-09-30,$90
2011-06-30,$77
2011-03-31,$114
2010-12-31,$129
2010-09-30,$101
2010-06-30,$72
2010-03-31,$86
2009-12-31,$85
2009-09-30,$65
2009-06-30,$83
2009-03-31,$98
