Globe Life Quarterly Net Income (Millions of US $),Globe Life Quarterly Net Income (Millions of US $).1
2024-03-31,$254
2023-12-31,$275
2023-09-30,$257
2023-06-30,$215
2023-03-31,$224
2022-12-31,$242
2022-09-30,$191
2022-06-30,$224
2022-03-31,$237
2021-12-31,$464
2021-09-30,$189
2021-06-30,$200
2021-03-31,$179
2020-12-31,$204
2020-09-30,$189
2020-06-30,$173
2020-03-31,$166
2019-12-31,$187
2019-09-30,$202
2019-06-30,$187
2019-03-31,$185
2018-12-31,$165
2018-09-30,$179
2018-06-30,$184
2018-03-31,$174
2017-12-31,"$1,027"
2017-09-30,$153
2017-06-30,$140
2017-03-31,$134
2016-12-31,$135
2016-09-30,$152
2016-06-30,$138
2016-03-31,$124
2015-12-31,$133
2015-09-30,$145
2015-06-30,$127
2015-03-31,$122
2014-12-31,$147
2014-09-30,$132
2014-06-30,$131
2014-03-31,$133
2013-12-31,$143
2013-09-30,$132
2013-06-30,$134
2013-03-31,$120
2012-12-31,$151
2012-09-30,$131
2012-06-30,$129
2012-03-31,$119
2011-12-31,$123
2011-09-30,$131
2011-06-30,$143
2011-03-31,$100
2010-12-31,$137
2010-09-30,$115
2010-06-30,$126
2010-03-31,$122
2009-12-31,$113
2009-09-30,$101
2009-06-30,$114
2009-03-31,$77
