Cisco Quarterly Net Income (Millions of US $),Cisco Quarterly Net Income (Millions of US $).1
2024-04-30,"$1,886"
2024-01-31,"$2,634"
2023-10-31,"$3,638"
2023-07-31,"$3,958"
2023-04-30,"$3,212"
2023-01-31,"$2,773"
2022-10-31,"$2,670"
2022-07-31,"$2,815"
2022-04-30,"$3,044"
2022-01-31,"$2,973"
2021-10-31,"$2,980"
2021-07-31,"$3,009"
2021-04-30,"$2,863"
2021-01-31,"$2,545"
2020-10-31,"$2,174"
2020-07-31,"$2,636"
2020-04-30,"$2,774"
2020-01-31,"$2,878"
2019-10-31,"$2,926"
2019-07-31,"$2,206"
2019-04-30,"$3,044"
2019-01-31,"$2,822"
2018-10-31,"$3,549"
2018-07-31,"$3,803"
2018-04-30,"$2,691"
2018-01-31,"$-8,778"
2017-10-31,"$2,394"
2017-07-31,"$2,424"
2017-04-30,"$2,515"
2017-01-31,"$2,348"
2016-10-31,"$2,322"
2016-07-31,"$2,813"
2016-04-30,"$2,349"
2016-01-31,"$3,147"
2015-10-31,"$2,430"
2015-07-31,"$2,319"
2015-04-30,"$2,437"
2015-01-31,"$2,397"
2014-10-31,"$1,828"
2014-07-31,"$2,247"
2014-04-30,"$2,181"
2014-01-31,"$1,429"
2013-10-31,"$1,996"
2013-07-31,"$2,270"
2013-04-30,"$2,478"
2013-01-31,"$3,143"
2012-10-31,"$2,092"
2012-07-31,"$1,917"
2012-04-30,"$2,165"
2012-01-31,"$2,182"
2011-10-31,"$1,777"
2011-07-31,"$1,232"
2011-04-30,"$1,807"
2011-01-31,"$1,521"
2010-10-31,"$1,930"
2010-07-31,"$1,935"
2010-04-30,"$2,192"
2010-01-31,"$1,853"
2009-10-31,"$1,787"
2009-07-31,"$1,081"
2009-04-30,"$1,348"
2009-01-31,"$1,504"
