Teradyne Quarterly Net Income (Millions of US $),Teradyne Quarterly Net Income (Millions of US $).1
2024-03-31,$64
2023-12-31,$117
2023-09-30,$128
2023-06-30,$120
2023-03-31,$84
2022-12-31,$172
2022-09-30,$183
2022-06-30,$198
2022-03-31,$162
2021-12-31,$224
2021-09-30,$257
2021-06-30,$328
2021-03-31,$206
2020-12-31,$196
2020-09-30,$223
2020-06-30,$189
2020-03-31,$176
2019-12-31,$125
2019-09-30,$136
2019-06-30,$97
2019-03-31,$109
2018-12-31,$144
2018-09-30,$120
2018-06-30,$101
2018-03-31,$87
2017-12-31,$-106
2017-09-30,$103
2017-06-30,$175
2017-03-31,$85
2016-12-31,$66
2016-09-30,$64
2016-06-30,$-224
2016-03-31,$50
2015-12-31,$-1
2015-09-30,$71
2015-06-30,$103
2015-03-31,$33
2014-12-31,$-104
2014-09-30,$83
2014-06-30,$101
2014-03-31,$1
2013-12-31,$22
2013-09-30,$69
2013-06-30,$67
2013-03-31,$7
2012-12-31,$-17
2012-09-30,$89
2012-06-30,$111
2012-03-31,$34
2011-12-31,$129
2011-09-30,$57
2011-06-30,$87
2011-03-31,$97
2010-12-31,$65
2010-09-30,$147
2010-06-30,$122
2010-03-31,$50
2009-12-31,$17
2009-09-30,$7
2009-06-30,$-67
2009-03-31,$-91
