Tractor Supply Quarterly Net Income (Millions of US $),Tractor Supply Quarterly Net Income (Millions of US $).1
2024-03-31,$198
2023-12-31,$248
2023-09-30,$255
2023-06-30,$421
2023-03-31,$183
2022-12-31,$271
2022-09-30,$234
2022-06-30,$396
2022-03-31,$187
2021-12-31,$221
2021-09-30,$224
2021-06-30,$370
2021-03-31,$181
2020-12-31,$136
2020-09-30,$191
2020-06-30,$339
2020-03-31,$84
2019-12-31,$144
2019-09-30,$122
2019-06-30,$219
2019-03-31,$77
2018-12-31,$137
2018-09-30,$117
2018-06-30,$207
2018-03-31,$71
2017-12-31,$110
2017-09-30,$92
2017-06-30,$161
2017-03-31,$60
2016-12-31,$124
2016-09-30,$89
2016-06-30,$156
2016-03-31,$68
2015-12-31,$112
2015-09-30,$87
2015-06-30,$153
2015-03-31,$58
2014-12-31,$112
2014-09-30,$77
2014-06-30,$133
2014-03-31,$49
2013-12-31,$96
2013-09-30,$65
2013-06-30,$124
2013-03-31,$44
2012-12-31,$79
2012-09-30,$50
2012-06-30,$107
2012-03-31,$40
2011-12-31,$71
2011-09-30,$43
2011-06-30,$91
2011-03-31,$18
2010-12-31,$50
2010-09-30,$30
2010-06-30,$77
2010-03-31,$11
2009-12-31,$43
2009-09-30,$22
2009-06-30,$55
2009-03-31,$0
