Occidental Petroleum Quarterly Net Income (Millions of US $),Occidental Petroleum Quarterly Net Income (Millions of US $).1
2024-03-31,$714
2023-12-31,"$1,046"
2023-09-30,"$1,149"
2023-06-30,$601
2023-03-31,$977
2022-12-31,"$1,773"
2022-09-30,"$2,528"
2022-06-30,"$3,527"
2022-03-31,"$4,676"
2021-12-31,"$1,342"
2021-09-30,$623
2021-06-30,$-97
2021-03-31,$-346
2020-12-31,"$-1,312"
2020-09-30,"$-3,778"
2020-06-30,"$-8,353"
2020-03-31,"$-2,232"
2019-12-31,"$-1,336"
2019-09-30,$-912
2019-06-30,$635
2019-03-31,$628
2018-12-31,$709
2018-09-30,"$1,869"
2018-06-30,$848
2018-03-31,$705
2017-12-31,$494
2017-09-30,$189
2017-06-30,$505
2017-03-31,$117
2016-12-31,$-272
2016-09-30,$-241
2016-06-30,$-139
2016-03-31,$78
2015-12-31,"$-5,178"
2015-09-30,"$-2,609"
2015-06-30,$176
2015-03-31,$-218
2014-12-31,"$-3,407"
2014-09-30,"$1,205"
2014-06-30,"$1,428"
2014-03-31,"$1,390"
2013-12-31,"$1,630"
2013-09-30,"$1,583"
2013-06-30,"$1,322"
2013-03-31,"$1,355"
2012-12-31,$344
2012-09-30,"$1,372"
2012-06-30,"$1,326"
2012-03-31,"$1,556"
2011-12-31,"$1,633"
2011-09-30,"$1,767"
2011-06-30,"$1,814"
2011-03-31,"$1,546"
2010-12-31,"$1,206"
2010-09-30,"$1,191"
2010-06-30,"$1,063"
2010-03-31,"$1,064"
2009-12-31,$938
2009-09-30,$927
2009-06-30,$682
2009-03-31,$368
