Chubb Quarterly Net Income (Millions of US $),Chubb Quarterly Net Income (Millions of US $).1
2024-03-31,"$2,143"
2023-12-31,"$3,300"
2023-09-30,"$2,043"
2023-06-30,"$1,793"
2023-03-31,"$1,892"
2022-12-31,"$1,311"
2022-09-30,$792
2022-06-30,"$1,190"
2022-03-31,"$1,953"
2021-12-31,"$2,127"
2021-09-30,"$1,833"
2021-06-30,"$2,265"
2021-03-31,"$2,300"
2020-12-31,"$2,418"
2020-09-30,"$1,194"
2020-06-30,$-331
2020-03-31,$252
2019-12-31,"$1,173"
2019-09-30,"$1,091"
2019-06-30,"$1,150"
2019-03-31,"$1,040"
2018-12-31,$355
2018-09-30,"$1,231"
2018-06-30,"$1,294"
2018-03-31,"$1,082"
2017-12-31,"$1,533"
2017-09-30,$-70
2017-06-30,"$1,305"
2017-03-31,"$1,093"
2016-12-31,"$1,610"
2016-09-30,"$1,360"
2016-06-30,$726
2016-03-31,$439
2015-12-31,$683
2015-09-30,$528
2015-06-30,$942
2015-03-31,$681
2014-12-31,$555
2014-09-30,$785
2014-06-30,$779
2014-03-31,$734
2013-12-31,$998
2013-09-30,$916
2013-06-30,$891
2013-03-31,$953
2012-12-31,$765
2012-09-30,$640
2012-06-30,$328
2012-03-31,$973
2011-12-31,$735
2011-09-30,$-39
2011-06-30,$594
2011-03-31,$250
2010-12-31,$978
2010-09-30,$675
2010-06-30,$677
2010-03-31,$755
2009-12-31,$953
2009-09-30,$494
2009-06-30,$535
2009-03-31,$567
