Wells Fargo Quarterly Net Income (Millions of US $),Wells Fargo Quarterly Net Income (Millions of US $).1
2024-03-31,"$4,313"
2023-12-31,"$3,160"
2023-09-30,"$5,450"
2023-06-30,"$4,659"
2023-03-31,"$4,713"
2022-12-31,"$2,877"
2022-09-30,"$3,313"
2022-06-30,"$2,863"
2022-03-31,"$3,509"
2021-12-31,"$6,032"
2021-09-30,"$4,787"
2021-06-30,"$5,743"
2021-03-31,"$4,256"
2020-12-31,"$3,003"
2020-09-30,"$2,901"
2020-06-30,"$-4,160"
2020-03-31,$42
2019-12-31,"$2,711"
2019-09-30,"$4,037"
2019-06-30,"$5,848"
2019-03-31,"$5,507"
2018-12-31,"$5,711"
2018-09-30,"$5,453"
2018-06-30,"$4,792"
2018-03-31,"$4,733"
2017-12-31,"$5,740"
2017-09-30,"$4,131"
2017-06-30,"$5,450"
2017-03-31,"$5,233"
2016-12-31,"$4,872"
2016-09-30,"$5,243"
2016-06-30,"$5,173"
2016-03-31,"$5,085"
2015-12-31,"$5,203"
2015-09-30,"$5,443"
2015-06-30,"$5,363"
2015-03-31,"$5,461"
2014-12-31,"$5,382"
2014-09-30,"$5,408"
2014-06-30,"$5,424"
2014-03-31,"$5,607"
2013-12-31,"$5,369"
2013-09-30,"$5,317"
2013-06-30,"$5,272"
2013-03-31,"$4,931"
2012-12-31,"$4,857"
2012-09-30,"$4,717"
2012-06-30,"$4,403"
2012-03-31,"$4,022"
2011-12-31,"$3,888"
2011-09-30,"$3,839"
2011-06-30,"$3,728"
2011-03-31,"$3,570"
2010-12-31,"$3,232"
2010-09-30,"$3,150"
2010-06-30,"$2,878"
2010-03-31,"$2,372"
2009-12-31,$394
2009-09-30,"$2,637"
2009-06-30,"$2,575"
2009-03-31,"$2,384"
