Pinnacle West Capital Quarterly Net Income (Millions of US $),Pinnacle West Capital Quarterly Net Income (Millions of US $).1
2024-03-31,$17
2023-12-31,$-0
2023-09-30,$398
2023-06-30,$107
2023-03-31,$-3
2022-12-31,$-24
2022-09-30,$326
2022-06-30,$164
2022-03-31,$17
2021-12-31,$28
2021-09-30,$340
2021-06-30,$216
2021-03-31,$36
2020-12-31,$-19
2020-09-30,$346
2020-06-30,$194
2020-03-31,$30
2019-12-31,$64
2019-09-30,$312
2019-06-30,$144
2019-03-31,$18
2018-12-31,$26
2018-09-30,$315
2018-06-30,$167
2018-03-31,$3
2017-12-31,$22
2017-09-30,$276
2017-06-30,$167
2017-03-31,$23
2016-12-31,$53
2016-09-30,$263
2016-06-30,$121
2016-03-31,$4
2015-12-31,$41
2015-09-30,$257
2015-06-30,$123
2015-03-31,$16
2014-12-31,$5
2014-09-30,$244
2014-06-30,$132
2014-03-31,$16
2013-12-31,$24
2013-09-30,$226
2013-06-30,$131
2013-03-31,$24
2012-12-31,$23
2012-09-30,$245
2012-06-30,$122
2012-03-31,$-8
2011-12-31,$13
2011-09-30,$255
2011-06-30,$87
2011-03-31,$-15
2010-12-31,$7
2010-09-30,$234
2010-06-30,$115
2010-03-31,$-6
2009-12-31,$-30
2009-09-30,$187
2009-06-30,$68
2009-03-31,$-157
