Consolidated Edison Inc Quarterly Net Income (Millions of US $),Consolidated Edison Inc Quarterly Net Income (Millions of US $).1
2024-03-31,$720
2023-12-31,$334
2023-09-30,$526
2023-06-30,$226
2023-03-31,"$1,433"
2022-12-31,$190
2022-09-30,$613
2022-06-30,$255
2022-03-31,$602
2021-12-31,$224
2021-09-30,$538
2021-06-30,$165
2021-03-31,$419
2020-12-31,$43
2020-09-30,$493
2020-06-30,$190
2020-03-31,$375
2019-12-31,$294
2019-09-30,$473
2019-06-30,$152
2019-03-31,$424
2018-12-31,$331
2018-09-30,$435
2018-06-30,$188
2018-03-31,$428
2017-12-31,$505
2017-09-30,$457
2017-06-30,$175
2017-03-31,$388
2016-12-31,$206
2016-09-30,$497
2016-06-30,$232
2016-03-31,$310
2015-12-31,$176
2015-09-30,$428
2015-06-30,$219
2015-03-31,$370
2014-12-31,$83
2014-09-30,$436
2014-06-30,$212
2014-03-31,$361
2013-12-31,$234
2013-09-30,$464
2013-06-30,$172
2013-03-31,$192
2012-12-31,$207
2012-09-30,$440
2012-06-30,$214
2012-03-31,$277
2011-12-31,$192
2011-09-30,$383
2011-06-30,$165
2011-03-31,$311
2010-12-31,$233
2010-09-30,$350
2010-06-30,$183
2010-03-31,$226
2009-12-31,$202
2009-09-30,$336
2009-06-30,$150
2009-03-31,$180
