QUALCOMM Quarterly Net Income (Millions of US $),QUALCOMM Quarterly Net Income (Millions of US $).1
2024-03-31,"$2,326"
2023-12-31,"$2,767"
2023-09-30,"$1,490"
2023-06-30,"$1,803"
2023-03-31,"$1,704"
2022-12-31,"$2,235"
2022-09-30,"$2,873"
2022-06-30,"$3,730"
2022-03-31,"$2,934"
2021-12-31,"$3,399"
2021-09-30,"$2,799"
2021-06-30,"$2,027"
2021-03-31,"$1,762"
2020-12-31,"$2,455"
2020-09-30,"$2,960"
2020-06-30,$845
2020-03-31,$468
2019-12-31,$925
2019-09-30,$506
2019-06-30,"$2,149"
2019-03-31,$663
2018-12-31,"$1,068"
2018-09-30,$-513
2018-06-30,"$1,202"
2018-03-31,$330
2017-12-31,"$-5,983"
2017-09-30,$148
2017-06-30,$866
2017-03-31,$749
2016-12-31,$682
2016-09-30,"$1,599"
2016-06-30,"$1,444"
2016-03-31,"$1,164"
2015-12-31,"$1,498"
2015-09-30,"$1,062"
2015-06-30,"$1,184"
2015-03-31,"$1,053"
2014-12-31,"$1,972"
2014-09-30,"$1,895"
2014-06-30,"$2,238"
2014-03-31,"$1,959"
2013-12-31,"$1,875"
2013-09-30,"$1,501"
2013-06-30,"$1,580"
2013-03-31,"$1,866"
2012-12-31,"$1,906"
2012-09-30,"$1,271"
2012-06-30,"$1,207"
2012-03-31,"$2,230"
2011-12-31,"$1,401"
2011-09-30,"$1,056"
2011-06-30,"$1,035"
2011-03-31,$999
2010-12-31,"$1,170"
2010-09-30,$865
2010-06-30,$767
2010-03-31,$774
2009-12-31,$841
2009-09-30,$803
2009-06-30,$737
2009-03-31,$-289
