Steel Dynamics Quarterly Net Income (Millions of US $),Steel Dynamics Quarterly Net Income (Millions of US $).1
2024-03-31,$584
2023-12-31,$424
2023-09-30,$577
2023-06-30,$812
2023-03-31,$637
2022-12-31,$635
2022-09-30,$914
2022-06-30,"$1,210"
2022-03-31,"$1,104"
2021-12-31,"$1,091"
2021-09-30,$991
2021-06-30,$702
2021-03-31,$431
2020-12-31,$188
2020-09-30,$100
2020-06-30,$75
2020-03-31,$187
2019-12-31,$121
2019-09-30,$151
2019-06-30,$194
2019-03-31,$204
2018-12-31,$270
2018-09-30,$398
2018-06-30,$362
2018-03-31,$228
2017-12-31,$305
2017-09-30,$153
2017-06-30,$154
2017-03-31,$201
2016-12-31,$20
2016-09-30,$157
2016-06-30,$142
2016-03-31,$63
2015-12-31,$-253
2015-09-30,$61
2015-06-30,$32
2015-03-31,$31
2014-12-31,$-45
2014-09-30,$91
2014-06-30,$72
2014-03-31,$39
2013-12-31,$55
2013-09-30,$57
2013-06-30,$29
2013-03-31,$48
2012-12-31,$61
2012-09-30,$13
2012-06-30,$44
2012-03-31,$46
2011-12-31,$30
2011-09-30,$43
2011-06-30,$99
2011-03-31,$106
2010-12-31,$8
2010-09-30,$19
2010-06-30,$49
2010-03-31,$65
2009-12-31,$27
2009-09-30,$69
2009-06-30,$-16
2009-03-31,$-88
