Capital One Financial Quarterly Net Income (Millions of US $),Capital One Financial Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,200"
2023-12-31,$639
2023-09-30,"$1,705"
2023-06-30,"$1,351"
2023-03-31,$887
2022-12-31,"$1,161"
2022-09-30,"$1,616"
2022-06-30,"$1,949"
2022-03-31,"$2,318"
2021-12-31,"$2,296"
2021-09-30,"$2,987"
2021-06-30,"$3,446"
2021-03-31,"$3,236"
2020-12-31,"$2,485"
2020-09-30,"$2,319"
2020-06-30,"$-1,009"
2020-03-31,"$-1,420"
2019-12-31,"$1,041"
2019-09-30,"$1,270"
2019-06-30,"$1,533"
2019-03-31,"$1,348"
2018-12-31,"$1,172"
2018-09-30,"$1,440"
2018-06-30,"$1,814"
2018-03-31,"$1,284"
2017-12-31,"$-1,043"
2017-09-30,"$1,047"
2017-06-30,$948
2017-03-31,$752
2016-12-31,$710
2016-09-30,$962
2016-06-30,$871
2016-03-31,$970
2015-12-31,$848
2015-09-30,"$1,079"
2015-06-30,$830
2015-03-31,"$1,115"
2014-12-31,$974
2014-09-30,"$1,056"
2014-06-30,"$1,177"
2014-03-31,"$1,136"
2013-12-31,$835
2013-09-30,"$1,087"
2013-06-30,"$1,091"
2013-03-31,"$1,038"
2012-12-31,$801
2012-09-30,"$1,173"
2012-06-30,$92
2012-03-31,"$1,396"
2011-12-31,$381
2011-09-30,$813
2011-06-30,$911
2011-03-31,"$1,016"
2010-12-31,$696
2010-09-30,$803
2010-06-30,$608
2010-03-31,$636
2009-12-31,$375
2009-09-30,$394
2009-06-30,$-277
2009-03-31,$-172
