American Quarterly Net Income (Millions of US $),American Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,194"
2023-12-31,$86
2023-09-30,"$2,020"
2023-06-30,"$1,485"
2023-03-31,$23
2022-12-31,$545
2022-09-30,"$2,741"
2022-06-30,"$2,746"
2022-03-31,"$4,166"
2021-12-31,"$4,718"
2021-09-30,"$1,660"
2021-06-30,$91
2021-03-31,"$3,869"
2020-12-31,$-60
2020-09-30,$281
2020-06-30,"$-7,936"
2020-03-31,"$1,742"
2019-12-31,$922
2019-09-30,$648
2019-06-30,"$1,102"
2019-03-31,$654
2018-12-31,$-622
2018-09-30,"$-1,259"
2018-06-30,$937
2018-03-31,$938
2017-12-31,"$-6,660"
2017-09-30,"$-1,739"
2017-06-30,"$1,130"
2017-03-31,"$1,185"
2016-12-31,"$-3,041"
2016-09-30,$462
2016-06-30,"$1,913"
2016-03-31,$-183
2015-12-31,"$-1,841"
2015-09-30,$-231
2015-06-30,"$1,800"
2015-03-31,"$2,468"
2014-12-31,$655
2014-09-30,"$2,192"
2014-06-30,"$3,073"
2014-03-31,"$1,609"
2013-12-31,"$1,978"
2013-09-30,"$2,170"
2013-06-30,"$2,731"
2013-03-31,"$2,206"
2012-12-31,"$-3,958"
2012-09-30,"$1,856"
2012-06-30,"$2,332"
2012-03-31,"$3,208"
2011-12-31,"$21,479"
2011-09-30,"$-3,990"
2011-06-30,"$1,836"
2011-03-31,$485
2010-12-31,"$6,860"
2010-09-30,"$-2,517"
2010-06-30,"$-2,656"
2010-03-31,$359
2009-12-31,"$-7,282"
2009-09-30,$92
2009-06-30,$311
2009-03-31,"$-5,365"
