Willis Towers Watson Public Quarterly Net Income (Millions of US $),Willis Towers Watson Public Quarterly Net Income (Millions of US $).1
2024-03-31,$190
2023-12-31,$622
2023-09-30,$136
2023-06-30,$94
2023-03-31,$203
2022-12-31,$588
2022-09-30,$190
2022-06-30,$109
2022-03-31,$122
2021-12-31,"$2,402"
2021-09-30,$903
2021-06-30,$184
2021-03-31,$733
2020-12-31,$476
2020-09-30,$121
2020-06-30,$94
2020-03-31,$305
2019-12-31,$544
2019-09-30,$75
2019-06-30,$138
2019-03-31,$287
2018-12-31,$378
2018-09-30,$44
2018-06-30,$58
2018-03-31,$215
2017-12-31,$245
2017-09-30,$-54
2017-06-30,$33
2017-03-31,$344
2016-12-31,$142
2016-09-30,$-32
2016-06-30,$72
2016-03-31,$238
2015-12-31,$-24
2015-09-30,$117
2015-06-30,$70
2015-03-31,$210
2014-12-31,$76
2014-09-30,$-7
2014-06-30,$47
2014-03-31,$246
2013-12-31,$68
2013-09-30,$-27
2013-06-30,$105
2013-03-31,$219
2012-12-31,$-805
2012-09-30,$26
2012-06-30,$108
2012-03-31,$225
2011-12-31,$25
2011-09-30,$60
2011-06-30,$85
2011-03-31,$34
2010-12-31,$98
2010-09-30,$64
2010-06-30,$89
2010-03-31,$204
2009-12-31,$79
2009-09-30,$79
2009-06-30,$87
2009-03-31,$193
