Ball Quarterly Net Income (Millions of US $),Ball Quarterly Net Income (Millions of US $).1
2024-03-31,"$3,685"
2023-12-31,$154
2023-09-30,$203
2023-06-30,$173
2023-03-31,$177
2022-12-31,$55
2022-09-30,$392
2022-06-30,$-174
2022-03-31,$446
2021-12-31,$297
2021-09-30,$179
2021-06-30,$202
2021-03-31,$200
2020-12-31,$227
2020-09-30,$241
2020-06-30,$94
2020-03-31,$23
2019-12-31,$160
2019-09-30,$92
2019-06-30,$197
2019-03-31,$117
2018-12-31,$151
2018-09-30,$59
2018-06-30,$119
2018-03-31,$125
2017-12-31,$159
2017-09-30,$48
2017-06-30,$99
2017-03-31,$68
2016-12-31,$52
2016-09-30,$31
2016-06-30,$307
2016-03-31,$-127
2015-12-31,$55
2015-09-30,$45
2015-06-30,$160
2015-03-31,$21
2014-12-31,$76
2014-09-30,$147
2014-06-30,$153
2014-03-31,$94
2013-12-31,$125
2013-09-30,$115
2013-06-30,$95
2013-03-31,$72
2012-12-31,$53
2012-09-30,$115
2012-06-30,$140
2012-03-31,$88
2011-12-31,$78
2011-09-30,$132
2011-06-30,$143
2011-03-31,$91
2010-12-31,$92
2010-09-30,$228
2010-06-30,$69
2010-03-31,$79
2009-12-31,$81
2009-09-30,$104
2009-06-30,$133
2009-03-31,$70
