Pentair Quarterly Net Income (Millions of US $),Pentair Quarterly Net Income (Millions of US $).1
2024-03-31,$133
2023-12-31,$208
2023-09-30,$132
2023-06-30,$153
2023-03-31,$130
2022-12-31,$95
2022-09-30,$115
2022-06-30,$153
2022-03-31,$118
2021-12-31,$149
2021-09-30,$144
2021-06-30,$132
2021-03-31,$129
2020-12-31,$103
2020-09-30,$111
2020-06-30,$72
2020-03-31,$73
2019-12-31,$98
2019-09-30,$92
2019-06-30,$114
2019-03-31,$51
2018-12-31,$93
2018-09-30,$110
2018-06-30,$42
2018-03-31,$103
2017-12-31,$190
2017-09-30,$125
2017-06-30,$264
2017-03-31,$88
2016-12-31,$131
2016-09-30,$141
2016-06-30,$143
2016-03-31,$107
2015-12-31,$-453
2015-09-30,$115
2015-06-30,$148
2015-03-31,$114
2014-12-31,$121
2014-09-30,$-186
2014-06-30,$162
2014-03-31,$119
2013-12-31,$158
2013-09-30,$173
2013-06-30,$154
2013-03-31,$52
2012-12-31,$-273
2012-09-30,$31
2012-06-30,$73
2012-03-31,$62
2011-12-31,$-176
2011-09-30,$51
2011-06-30,$67
2011-03-31,$51
2010-12-31,$33
2010-09-30,$55
2010-06-30,$61
2010-03-31,$35
2009-12-31,$29
2009-09-30,$37
2009-06-30,$32
2009-03-31,$17
